,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,Amigos Canning Co. (Amigos Foods),San Antonio,TX,https://amigosfoods.com/,210-798-5360,,Canned beans; salsas; dips; cooking sauces; BBQ sauces; taco shells (origin about),"Live amigosfoods.com is the San Antonio brand and private-label plant at 4669 West US Highway 90. Origin About states manufacturing and packaging food to the order and specification of others, matching existing formulas or commercializing new products, small-batch or long-run options, and private label and/or Amigos Brand programs. Three plants spanning over 300,000 sq ft in one city. Family-owned; Durrset Amigos purchased in 2000; Setliff family full ownership 2015. Curl TLS unexpected EOF this check; WebFetch of homepage and /about succeeded. No public email on retrieved origin.",Cans 3 oz / 9 oz / 10 oz / 16 oz / 31 oz; glass 8-24 oz; 1/2 gallon and gallon plastics; taco shells 10/12/18 ct (origin about),,"BRC (origin claim: canning, taco, and acidified glass plants); HACCP / SGS / Silliker claimed on origin (spellings HACCAP and Silkier)",co-packer,https://amigosfoods.com/; https://amigosfoods.com/about; https://www.pickyourown.org/copackers-Texas.php,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; private_label; not_first_run_scale; no_email_on_origin; curl_tls_eof,Import. Origin confirms private-label manufacturing in San Antonio. Use 210-798-5360 from origin contact. Not a kitchen-table first run.,Amigos Canning Co.,amigos canning co.|san antonio|TX
1,Blount Fine Foods (formerly Blount Seafood Corp),Warren,RI,https://blountfinefoods.com/,401-245-8800,,"Refrigerated and frozen soups, chowders, sides, sauces, and entrees; foodservice and retail (origin)","Live blountfinefoods.com is the family prepared-foods company formerly named Blount Seafood Corporation (RI SOS rename 2012). Origin About: marketer, manufacturer, and developer of premium fresh prepared foods sold in grocery, club, and restaurants in all 50 states; foodservice/hot-to-go line making products for some of your favorite brands. Older origin side-content still lists Legal Sea Foods, Panera Bread, and private-label brands. Contact lists Corporate HQ 308 Market Street Warren (401-998-1100), RI manufacturing 383 Water Street Warren (401-245-8800), Fall River MA (774-888-1300), and McKinney TX (972-548-9001). Customer care 800-274-2526. No public email (form only). Large soup/seafood co-man, not a first-run kitchen.",4 lb foodservice soup bags claimed on origin FAQ; other retail/foodservice formats not enumerated on retrieved pages,,,co-manufacturer,https://blountfinefoods.com/; https://blountfinefoods.com/about-us; https://blountfinefoods.com/contact; https://blountfinefoods.com/component/content/category/8-side-content; https://business.sos.ri.gov/CorpWeb/CorpSearch/CorpSummary.aspx?FEIN=000002550; https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,2026-08-26 00:00:00,VERIFIED,4,origin_confirms_private_label; industrial_scale; not_first_run_scale; no_email_on_origin; seed_name_was_former; certs_unnamed_on_origin,Import only if Codex wants industrial soup/seafood co-man scale. Use Warren RI manufacturing 401-245-8800. Seed Blount Seafood Corp is the former name. Not first-run.,Blount Fine Foods,blount seafood corp|warren|RI
2,CinnAGirls (Cinn-A-Girls Bakery),Centralia,WA,,,,Breakfast sandwiches; quiche turkey pesto (ODA locator only); retail cinnamon rolls and baked goods (2024 Daily Chronicle),"No official website found this check. Daily Chronicle 2024: owner Robyne Hicks relocated Cinn-A-Girls Bakery from Lacey to 1039 S Gold St, Centralia. Giftly and local bakery listings use 360-388-7035. ODA PNW locator lists breakfast sandwiches and quiche. Origin copack page does not exist. Seed Robyneh1@yahoo.com unused. Seed phone unused (not on a retrieved origin page).",,,,unknown,"https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx; http://www.chronline.com/stories/cinn-a-girls-bakery-longtime-centralia-baker-relocates-business-to-the-hub-city,359406",2026-08-26 00:00:00,NEEDS_REVIEW,2,no_website; copack_off_origin; retail_bakery; seed_phone_unused; seed_email_unused; directory_only,Hold. Live retail bakery in Centralia. ODA copack listing is off origin because there is no company site.,CinnAGirls,cinnagirls|centralia|WA
3,Conan's Hot Sauces & Marinades LLC (Conan's Island JuJu),Vancouver,WA,https://www.conansjuju.com/,360-718-8961,,"Small-batch spice blends, marinades, hot sauces, and cocktail mixers under Conan's Island JuJu (origin shop)","Live conansjuju.com is a brand shop. About page is chef/founder story at 3110 NE Minnehaha St, Vancouver, with 360-718-8961. No co-pack or private-label language on retrieved origin. Seed Marinadres is a Marinades typo; WA SOS is Conan's Hot Sauces and Marinades, LLC. Seed conansjuju@gmail.com unused (not on retrieved origin). ODA locator lists dry blending, shelf stable, acidified, inquire about minimums; unused as origin copy.",,,,unknown,https://www.conansjuju.com/; https://www.conansjuju.com/about; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,NEEDS_REVIEW,3,copack_off_origin; brand_site; seed_name_typo_marinadres; seed_email_unused; seed_moq_unused,Hold. Live Vancouver hot-sauce brand. ODA copack listing is not confirmed on origin.,Conan's Hot Sauces & Marinades LLC,conan's hot sauces & marinadres llc|vancouver|WA
4,Consolidated Mills Inc.,Houston,TX,https://consolidatedmills.com/,713-896-4196,info@cmillsinc.com,"Dry herbs and spices; salsas and sauces; jalapeno peppers; beverage concentrates, snow-cone syrups, bar mixers, aguas frescas; food colors and flavor emulsions (origin)","Live consolidatedmills.com states food contract packaging and product solutions for institutional and retail. 50,000 sq ft northwest Houston plant at 7190 Brittmoore, Suite 150. Origin: dry and wet blending; private label manufacturing of salsas and sauces; small-batch production runs for test items as well as large volume; library of proven recipes under customer label. Facility page (WebSearch/prior fetch): kettles, pressure and piston fillers, ribbon blenders, VFFS. Contact phone 713-896-4196, fax 713-896-4199, email Info@cmillsinc.com. Some inner pages returned a bot-check this check; homepage and contact retrieved.","Retail and institutional; bottles, bags/boxes, and industrial pepper packs (origin facility/product copy)",,"Kosher certified (origin); yearly 3rd-party food safety audit (origin, unnamed scheme)",co-packer,https://consolidatedmills.com/; https://consolidatedmills.com/contact-us/; https://consolidatedmills.com/about-us/; https://consolidatedmills.com/facility/; https://aggie-horticulture.tamu.edu/food-technology/food-processing-entrepreneurs/getting-started/co-packers-in-texas/,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; small_batch_test_runs; kosher_origin; seed_moq_unused,Import. Houston wet/dry contract packer with small-batch test runs named on origin. Use info@cmillsinc.com and 713-896-4196. No public MOQ number.,Consolidated Mills Inc.,consolidated mills inc.|houston|TX
5,"County Fair Foods, Inc.",Arlington,TX,https://countyfairfoodsinc.net/,,,Acidified foods (Texas A&M directory only),"Live countyfairfoodsinc.net is a near-empty GoDaddy builder homepage plus a contact form. No copack, product, phone, or email copy on retrieved origin. Curl TLS unexpected EOF this check; WebFetch of homepage and /contact-us succeeded. Seed 817-265-0094 unused. Texas A&M and PickYourOwn still list the Arlington copacker. Directory-only process tags unused.",,,,unknown,https://countyfairfoodsinc.net/; https://countyfairfoodsinc.net/contact-us; https://aggie-horticulture.tamu.edu/food-technology/food-processing-entrepreneurs/getting-started/co-packers-in-texas/,2026-08-26 00:00:00,NEEDS_REVIEW,2,thin_origin; copack_off_origin; seed_phone_unused; curl_tls_eof; directory_only,Hold. Live but empty Arlington site. Copack is directory-only this check.,"County Fair Foods, Inc.","county fair foods, inc|arlington|TX"
6,Creative Foodworks Inc.,San Antonio,TX,https://creativefw.com/,210-212-4761,info@creativefw.com,"Hot-filled acidified shelf-stable BBQ sauces, salsas, hot sauces, queso, pasta sauces, marinades, dressings, drink mixes, condiments (origin)","Live creativefw.com is a dedicated San Antonio co-packer since 1987 that does not sell its own brand. Plant at 1011 S. Acme Rd. Origin: formulation, reverse engineering, scale-up, house recipes, hot-fill production, SQF/OU/GF. Built for established brands, not first runs. Seed Creative Food Works spelling normalized to origin Creative Foodworks. Seed phone matches origin.","Retail 8-32 oz glass or plastic jars, bottles, squeeze bottles in 6-pack or 12-pack trays; foodservice 1 gallon to 50 gallon (origin)","1,000 gallons per batch; orders at least quarterly (origin)",SQF (origin); Kosher OU (origin); Gluten Free Food Program (origin),co-packer,https://creativefw.com/; https://creativefw.com/capabilities; https://creativefw.com/contact; https://aggie-horticulture.tamu.edu/food-technology/food-processing-entrepreneurs/getting-started/co-packers-in-texas/,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; published_moq; not_first_run_scale; sqf; ou_kosher,"Import if Codex wants established-brand hot-fill scale. Origin says not first runs. Use 210-212-4761 and info@creativefw.com. 1,000 gallon floor.",Creative Foodworks Inc.,creative food works inc.|san antonio|TX
7,Great River Organic Milling (Enrich Foods),Fountain City,WI,https://greatrivermilling.com/,,sales@greatrivermilling.com,"Organic grains, oats, flours, hot cereals, pancake and waffle mixes (origin shop / MDA)","Live greatrivermilling.com is a D2C organic mill shop. Footer/contact: S2964 Indian Creek Road, Fountain City, WI 54629, sales@greatrivermilling.com. About is brand/farm-to-table copy with no co-pack page. MDA still lists Cochrane WI copack, Rick Halverson, 608-687-9580, RHalverson@GreatRiverMilling.com, MOQ depends on product; those unused as origin copy. 2023 CGI/Enrich Foods acquisition PR claimed co-manufacturing and SQF; that is press, not retrieved origin. enrich-foods.com NXDOMAIN this check. Seed Cochrane city corrected from origin Fountain City.",,,Organic claimed on origin shop; SQF/kosher/GF/non-GMO from 2023 acquisition PR unused,unknown,https://greatrivermilling.com/; https://greatrivermilling.com/pages/about-us; https://greatrivermilling.com/pages/contact; https://www.mda.state.mn.us/minnesota-co-packer-directory; https://www.prnewswire.com/news-releases/columbia-grain-international-is-cultivating-great-innovations-with-the-acquisition-of-great-river-milling-and-formation-of-enrich-foods-llc-301861201.html,2026-08-26 00:00:00,NEEDS_REVIEW,3,copack_off_origin; brand_site; city_corrected_fountain_city; seed_phone_unused; seed_email_unused; seed_moq_unused; parent_enrich_foods; acquisition_pr_not_origin,Hold. Live mill brand at Fountain City. MDA copack listing is off origin. Keep great river organic milling|cochrane|WI.,Great River Organic Milling,great river organic milling|cochrane|WI
8,Jananna Foods,Kilgore,TX,,,,Tomato products / sauces in cans and jars (third-party directories only),"janannafoods.com NXDOMAIN this check. PickYourOwn lists Jananna Foods copacker, P.O. Box 1309 Kilgore, 903-984-2041. D&B/LinkedIn still show 1900 State Highway 31 E, Kilgore. No official site, so seed phone unused. Do not invent contacts.",,,,unknown,https://www.pickyourown.org/copackers-Texas.php,2026-08-26 00:00:00,NEEDS_REVIEW,2,no_website; nxdomain; directory_only; seed_phone_unused,Hold. No official site. Directory Kilgore canner only.,Jananna Foods,jananna foods|kilgore|TX
9,Jelco Foods,Houston,TX,,,,Acidified foods (Texas A&M directory only),"jelcofoods.com NXDOMAIN this check. Texas A&M and PickYourOwn list Jelco Foods, 14114 Reeveston Rd, Houston, TX 77039, 281-794-4778. MapQuest calls it a food distributor. No official site, so seed phone unused. Do not invent contacts.",,,,unknown,https://aggie-horticulture.tamu.edu/food-technology/food-processing-entrepreneurs/getting-started/co-packers-in-texas/; https://www.pickyourown.org/copackers-Texas.php,2026-08-26 00:00:00,NEEDS_REVIEW,2,no_website; nxdomain; directory_only; seed_phone_unused,Hold. No official site. Houston directory copacker only.,Jelco Foods,jelco foods|houston|TX
