,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,Waggoner Chocolates,North Canton,OH,https://waggonerchocolates.com/,888-591-9842,,"Retail boxed chocolates, buckeyes, turtles, peppermint bark, bars, nuts; fundraising and corporate gifts","Live site is a family chocolate e-commerce storefront at 1281 South Main Street, North Canton. About/Info is brand history (Harry London / London's Candies lineage). No co-pack, private-label, or contract-manufacturing offer found on home, Info, or Contact.",,,,unknown,https://waggonerchocolates.com/; https://waggonerchocolates.com/info/; https://waggonerchocolates.com/contact-us/; https://www.pickyourown.org/copackers-Ohio.php,2026-08-26 00:00:00,EXCLUDE,5,brand_retail_not_copacker; seed_copack_unused; seed_email_unused; seed_kosher_unused,Not a copacker on the live origin. PickYourOwn copack/kosher line and jwaggoner@waggonerchocolates.com were not on retrieved pages. Do not import.,Waggoner Chocolates,waggoner chocolates|north canton|OH
1,8th Avenue Food & Provisions (formerly Attune Foods),Eugene,OR,https://www.postconsumerbrands.com/brands/8th-avenue-food-provisions/granola/,,,"Organic and non-GMO granola (cereal and snack); 8th Avenue division also states nut butters, dried fruits, nuts, and trail mix at the parent private-label page","8avegranola.com HTTP redirects to Post Consumer Brands 8th Avenue granola co-manufacturing and private-label page. Copy: granola division in Oregon's Willamette Valley, half-century of granola production, co-man and private label for retailers/restaurants/schools. attunefoods.com is 404/unresolved. Seed Attune Foods / 541-743-9600 not on retrieved Post pages. Industrial retailer-scale, not a first-run kitchen.",Not specified by format on retrieved granola pages,,,co-manufacturer,https://www.8avegranola.com/solutions/; https://www.postconsumerbrands.com/brands/8th-avenue-food-provisions/granola/; https://www.postconsumerbrands.com/brands/8th-avenue-food-provisions/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,VERIFIED,4,website_swap; post_consumer_brands; industrial_retailer_scale; not_first_run; seed_phone_unused; organic_nongmo_are_product_claims; eugene_from_seed_willamette_valley_on_site,Attune Foods is no longer a standalone Eugene copack site. Official granola co-man page is Post / 8th Avenue. Keep Eugene as seed city; live copy only says Willamette Valley. Do not import seed phone. Steep for a first product.,8th Avenue Food & Provisions,8th avenue food and provisions|eugene|OR
2,Eberhard Creamery,Redmond,OR,https://www.eberhardsdairy.com/,(541) 548-5181,,"Own-brand fluid milk, cream, butter, cultured dairy, ice cream, and novelties; also distributed products","Third-generation Central Oregon dairy at 235 S.W. Evergreen Ave, Redmond. History and product pages are own-brand Heart of Oregon / Quality Chek'd / Eberhard's Organic Creamery. No co-pack, private-label, or contract-manufacturing offer found. ODA PNW locator listed them; that copack signal is not on the live origin.",,,,unknown,https://www.eberhardsdairy.com/; https://www.eberhardsdairy.com/history; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,5,brand_dairy_not_copacker; oda_directory_copack_unused,"Live eberhardsdairy.com is a regional dairy brand, not a copacker. Phone (541) 548-5181 is the Redmond line on the contact block (Bend 541-382-3131, fax 541-548-7009). Do not import as a dairy copacker.",Eberhard's Dairy Products,eberhard creamery|redmond|OR
3,George Packing Company,Hubbard,OR,https://filberts.com/,503-537-9606,EricG@georgepack.com,"Oregon hazelnuts (grower receiving, cleaning, drying, processing, and marketing)","Family hazelnut grower-processor since 1993. Site is for orchard growers and nut buyers, not third-party recipe copack. Plant 19748 Highway 99E, Hubbard OR 97032. Seed city Salem and phone 503-463-1728 unused. Also Aaronm@hazelnuts.com on contact.",Bulk nut forms including 25 lb boxes (product sheets),,,unknown,https://filberts.com/; https://filberts.com/contact/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,5,grower_processor_not_copacker; city_hubbard_not_salem; seed_phone_unused,Not a food/bev copacker for outside brands. filberts.com is George Packing's grower marketing site. City corrected to Hubbard from the plant address. Do not import.,George Packing Company,george packing|hubbard|OR
4,Ventura Foods,Salem,OR,https://www.venturafoods.com/,503-585-6423,,Dressings; butter blends and margarine; sauces; cooking oils; mayonnaise; dessert mixes; beverage mixes; condiments; bulk shortening; salad oil; foodservice and retail brands,"Large industrial manufacturer. Capabilities page: 16 manufacturing facilities, 4500-plus employees, 4300 SKUs, branded and private-label products for foodservice, retail, and restaurant chains (partnerships with 80 percent of the top 100 restaurant chains claimed). Locations page includes Salem at 3371 Portland Rd NE, Salem OR 97301 plus a Portland OR site. Seed ODA copack row is this Salem plant. Not a first-product / small-run plant.","Portion-control pouches and cups; jars and bottles; trays/prints/quarters; tubs and pails; jug, jug-in-box, and bag-in-box; bulk pouches, drums, and totes",,,private-label producer,https://www.venturafoods.com/; https://www.venturafoods.com/our-capabilities/; https://www.venturafoods.com/who-we-are/; https://www.venturafoods.com/locations/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,VERIFIED,4,industrial_scale; not_first_run; foodservice_oriented; salem_plant_on_locations; seed_phone_not_on_corporate_pages; no_published_numeric_moq; no_named_gfsi_on_retrieved_pages,"Digest honestly: Ventura is a CHS/Mitsui joint-venture industrial oils/dressings/sauces company, not a founder copacker. Salem plant is real on the locations map. Phone 503-585-6423 is the seed/ODA Salem number and matches Oregon BCD responsible-party copy; it is not printed on retrieved venturafoods.com pages. No public email. Import only if Codex wants a named industrial private-label plant.",Ventura Foods,ventura foods|salem|OR
5,"Sugartown Smoked Specialties, Inc.",West Chester,PA,https://smokedfoods.com/,(610) 429-4080,sales@smokedfoods.com,"Smoked seafood, meat, poultry, and cheese","Dedicated Co-packing Partners page plus FAQ: USDA smokehouse copack and private label in West Chester, including recipe replication or new R&D (brines, cures, hot and cold smoking). Copy says they will discuss production levels rather than post a numeric floor. Own branded smoked foods also sold D2C and at Lancaster County Farmers Market in Wayne PA. Address 306-1Q Westtown Road (FAQ also Suite P).","Vacuum packaged (D2C shipping described); copack packaging described as tailored, not listed by format",,"USDA facilities (claimed on copack page). FAQ states none of their ingredients contain gluten and the facility does not process other gluten-containing products (in-house claim, not a named GF cert).",co-packer,https://smokedfoods.com/; https://smokedfoods.com/pages/sugartown-co-packing-partners; https://smokedfoods.com/pages/about-sugartown; https://smokedfoods.com/pages/sugartown-faqs; https://extension.psu.edu/list-of-co-packers-in-pennsylvania-and-beyond/,2026-08-26 00:00:00,VERIFIED,5,smoked_protein; usda_claimed; city_west_chester_not_chester; no_published_numeric_moq; gluten_free_in_house_claim,"Live smokedfoods.com confirms copack. City corrected from seed Chester to West Chester. Phone matches. sales@smokedfoods.com is on the FAQ. www.smokedfoods.com returned 429 to some fetches; apex smokedfoods.com succeeded. Small-brand friendly copy on the copack page, still no number.",Sugartown Smoked Specialties,"sugartown smoked specialties, inc|west chester|PA"
6,The Sweetery,Anderson,SC,https://thesweetery.com/,864-224-8394,jane@thesweetery.com,"Scratch bakery cakes, pies, cookies, cheesecakes, Cheese Buttons; cafe lunch; corporate gifting","Local bakery and lunch cafe at 1814 E Greenville St, Anderson. About page is brand/story. Custom cakes and shipping of their desserts. No co-pack or private-label manufacturing offer found.",,,,unknown,https://thesweetery.com/; https://thesweetery.com/about/; https://thesweetery.com/contact/; https://www.pickyourown.org/copackers-South-Carolina.php,2026-08-26 00:00:00,EXCLUDE,5,bakery_cafe_not_copacker; seed_phone_unused,Not a copacker. Live site is a retail bakery/cafe. Phone on site 864.224.8394; seed 800-752-1188 unused. jane@thesweetery.com is on contact. Do not import.,The Sweetery,the sweetery|anderson|SC
7,Doug Jeffords Company (now Creative Spiceworks),Franklin,TN,https://creativespiceworks.com/,,,Custom seasonings; dry marinades; soup mixes; house blends; bulk spices; retail-packed seasonings (see Batch 08 Creative Spiceworks),"dougjeffords.com 301-redirects to creativespiceworks.com, which states Doug Jeffords and Georgia Spice Company are now Creative Spiceworks. Same dedicated custom dry-blending facility, SQF claim, and published lb/unit MOQs as Batch 08 VERIFIED Creative Spiceworks (Atlanta). Seed Franklin TN / 615-373-0044 were not on the live Creative Spiceworks homepage (contact form only). Do not import as a second plant.",25 or 50 lb bags; bag-in-box; 50 lb cases; retail packaging; batch packaging (from Creative Spiceworks homepage),,,co-manufacturer,https://www.dougjeffords.com/; https://creativespiceworks.com/; https://www.pickyourown.org/copackers-Tennessee.php,2026-08-26 00:00:00,NEEDS_REVIEW,5,cross_batch_dupe; website_redirects_creativespiceworks; already_verified_batch08; seed_phone_unused; do_not_import_second_plant,"Same company as Batch 08 VERIFIED Creative Spiceworks (formerly Georgia Spice Company / Doug Jeffords), key georgia spice company|atlanta|GA, website creativespiceworks.com. Seed Franklin TN appears to be an old commercial address, not a second confirmed plant. Keep this row NEEDS_REVIEW so Codex does not create a duplicate Franklin listing. MOQs and SQF already captured on the Batch 08 row; not recopied here.",Creative Spiceworks,doug jeffords company|franklin|TN
8,Premier Packing,Lynden,WA,https://www.premier-packing.com/,,,"Customized seafood: wild and farmed salmon, cod, halibut, sablefish, seabass; headed/gutted, fillet, portion, value-added, green roe, ikura","Customized seafood processor since 2009. Primary facility inside Americold in Lynden (BRC AA+ claimed) plus a packing operation inside Lineage; site says a new plant is planned. Serves club, retail, distributors, foodservice, and military with custom specs, product development, and packaging design. Own branded lines also shown. Not a small-run CPG jar plant.",IQF; vacuum-pack; skin-pack; retail bag; fresh skin-pack fillets; IVP retail-bagged portions,,BRC AA+ (primary facility claimed); MSC-C-51722; CSI-S-2402; USDC 1494; HACCP QMP C0206075-BRC10 (listed on homepage),co-manufacturer,https://www.premier-packing.com/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,VERIFIED,4,seafood_processor; industrial_retail_club; no_phone_on_site; seed_email_unused; seed_kosher_unused; no_published_numeric_moq,"Live premier-packing.com confirms customized seafood processing for other clients' specs, not only own brands. Address 406 2nd St, Lynden WA 98264. Contact is a form; seed sales@premier-packing.com unused. Seed kosher not on retrieved pages. Do not invent a phone.",Premier Packing,premier packing|lynden|WA
9,Create-A-Pack Foods Inc.,Ixonia,WI,https://www.capfoodinc.com/,262-567-6069,,"Liquid foods (condiments, sauces, dressings, juices, energy gels, icings); dry foods; confectionery; private-label supplements; custom kits","create-a-pack.com redirects to capfoodinc.com. Full-service cooking, processing, blending, and contract packaging since 1997. Four facilities in Ixonia and Oconomowoc: HQ W1344 Industrial Drive, Ixonia; dry plant 1730 Executive Drive, Oconomowoc; allergen facility W1205 Elmwood Ave, Ixonia; over 14 processing lines and 26-plus packaging lines claimed. On-staff food scientist/R&D. Does not sell competing own-label foods. Quote form lists 50000 as the lowest bottle/pouch band.",Vertical and horizontal form-fill-seal pouches; gusseted standup pouches; spouted pouches; bottles; cups; pails; drums; multiwall bags; bag-in-box; shrink and pressure-sensitive labeling; composite canisters; rigid containers; stick packs; tubs; jars; totes; gaylords; kits,"Contact form lowest band is 50000 units for glass bottles, plastic bottles, or pouches","SQF 2000 Level 3 / GFSI (claimed); FDA low-acid/acidified licensed; Wisconsin DATCP food manufacturer; kosher, organic, and gluten-free by item (claimed)",co-packer,https://www.create-a-pack.com/; https://www.capfoodinc.com/; https://www.capfoodinc.com/about-us/; https://www.capfoodinc.com/contact/; https://www.capfoodinc.com/food-safety/; https://www.capfoodinc.com/food-co-packing/dry-food-co-packaging/; https://www.capfoodinc.com/food-co-packing/private-label-food-packaging/; https://www.pickyourown.org/copackers-Wisconsin.php,2026-08-26 00:00:00,VERIFIED,5,website_swap; hq_ixonia; seed_city_oconomowoc_is_dry_plant; published_form_moq; steep_for_first_run; sqf_level3_claimed; no_public_email,Live capfoodinc.com is a full liquid/dry copacker. City set to Ixonia HQ; Oconomowoc remains the dry plant. Phone 262-567-6069 matches. 50000-unit form floor is steep for a first product. No public email (form only).,Create-A-Pack Foods,create-a-pack foods inc.|ixonia|WI
