,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,Longo's Bakery Inc. (now TPM Pizza),Hazleton,PA,https://tpmpizza.com/,(800) 599-6584,customerservice@tpmpizza.com,"Pizza shells, crusts, frozen dough balls, hand-stretched shells; private-label pizzas including USDA meat toppings (origin)","longosbakery.com redirects to tpmpizza.com. Origin has a dedicated co-packing/private-label page: custom pizza copack under customer brand or TPM's own. LinkedIn for the TPM/Tony's entity lists 138 W 21st St, Hazleton (same as Longo's BBB/MapQuest). Contact page also shows Mt. Laurel NJ freight (phillycoldfreight@gmail.com). Seed 570-454-5887 and chris@longosbakery.com unused. Penn State still lists Longo's copack at the Hazleton address.","Pizza shells, dough balls, and finished private-label pizzas (origin; sizes not enumerated)",,USDA-certified with meat toppings (origin copack page),co-packer,https://tpmpizza.com/; https://tpmpizza.com/co-packing-private-label/; https://tpmpizza.com/contact/; https://extension.psu.edu/list-of-co-packers-in-pennsylvania-and-beyond/,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; public_site_now_tpm; seed_phone_unused; seed_email_unused; also_own_brand,"Import. Use tpmpizza.com, (800) 599-6584, customerservice@tpmpizza.com. Keep longo's bakery inc.|hazleton|PA. Same 138 W 21st St plant.",Longo's Bakery Inc.,longo's bakery inc.|hazleton|PA
1,"National Food & Beverage, Inc.",Dallas,TX,https://www.national-foods.com/,214-905-9700,,"Custom food and beverage items for foodservice, retail, and club stores (origin markets page; SKUs not enumerated)","Live national-foods.com is National Food & Beverage, Inc. at 9030 Premier Row, Dallas, TX 75247. Origin: we don't just make products, we build brands; custom manufacturing for foodservice, retail, and club; general contact 214-905-9700. Brochure downloads failed (application no longer available). No public email (form only). Not National Foodworks Services (Decatur IL, nationalfoodworks.com, 217-330-8512), which is not in Batches 01-25. Not Heritage Family Specialty Foods (Batch 13 Grand Prairie). Not National Frozen Foods (Batch 13 Albany OR EXCLUDE).",,,,co-manufacturer,https://www.national-foods.com/; https://www.national-foods.com/our-markets-capabilities; https://www.national-foods.com/general-contact-info; https://aggie-horticulture.tamu.edu/food-technology/food-processing-entrepreneurs/getting-started/co-packers-in-texas/,2026-08-26 00:00:00,VERIFIED,4,origin_confirms_custom_mfg; no_email_on_origin; not_national_foodworks_IL; not_heritage_family_TX; product_skus_thin_on_origin,Import as Dallas custom manufacturer. Use 214-905-9700. Do not merge with National Foodworks Decatur IL. Keep national food & beverage|dallas|TX.,"National Food & Beverage, Inc.",national food & beverage|dallas|TX
2,Neilly's Food Development,York,PA,,,,"Custom blends, dry mixes, soups, drink mixes, baked goods, BBQ/hot sauces, dressings, marinades (Penn State directory only)","neillys.com returned HTTP 200 with an empty body. neillysfooddevelopment.com returned 114-byte empty/500 then WebFetch timeout on retry. Penn State lists 272 S Richland Ave, York, Albert Ndjee, Sales@neillys.com, low MOQs, custom formulations. LinkedIn brand shop@neillys.com / 717-428-6431 is the Neilly's Foods consumer brand, not retrieved origin this check. Seed email unused. Directory-only after retry.",,,,unknown,https://extension.psu.edu/list-of-co-packers-in-pennsylvania-and-beyond/; https://neillys.com/; https://neillysfooddevelopment.com/,2026-08-26 00:00:00,NEEDS_REVIEW,2,origin_down_after_retry; directory_only; seed_email_unused; seed_moq_unused,Hold. Both candidate domains empty or down after retry. Do not invent contacts.,Neilly's Food Development,neilly's food development|york|PA
3,Oregon Seafoods (Sea Fare Pacific),Charleston,OR,https://seafarepacific.com/,541-266-8862,sales@oregonseafoods.com,"Own-brand wild Pacific albacore in pouches (sea salt, salt-free, smoked, jalapeno) and foodservice 2 lb / 4 lb pouches (origin)","oregonseafood.com is for sale (GoDaddy). www.oregonseafoods.com redirects to seafarepacific.com, the Mike Babcock own-brand tuna shop. Contact: P.O. Box 5800, Charleston, OR 97420, 541-266-8862, fax 541-267-3474, sales@oregonseafoods.com. Origin About describes hand packing in Coos Bay. Food-services page is bulk own-brand pouches, not third-party copack. LinkedIn still calls Oregon Seafoods a custom processing facility; that is off origin. ODA locator canning, flex pouches, LACF seafoods, pet food unused as origin copy. Seed city Charelson corrected to Charleston. Seed mike@oregonseafood.com unused.",BPA-free pouches including 2 lb and 4 lb foodservice; cans possible per FAQ but pouch-preferred (origin),,Gluten free and non-GMO claimed on food-services pouch copy (origin),unknown,https://seafarepacific.com/; https://seafarepacific.com/about-us/; https://seafarepacific.com/contact-us/; https://seafarepacific.com/food-services/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,NEEDS_REVIEW,3,copack_off_origin; brand_site; city_corrected_charleston; seed_email_unused; directory_pet_food_unused; oregonseafood.com_for_sale,"Hold. Live Sea Fare Pacific brand. Third-party copack is ODA/LinkedIn, not origin. Keep oregon seafood|charelson|OR.",Oregon Seafoods,oregon seafood|charelson|OR
4,PURIS,Turtle Lake,WI,https://www.puris.com/,612-400-1416,,"Plant-based pea/soy/pulse ingredients and protein isolates; Turtle Lake is warehousing, distribution, and pilot-scale ingredient processing (origin)","Live puris.com Finished Applications FAQ: PURIS does not do white-labeling or co-manufacturing. It is an ingredient supplier. Turtle Lake page: logistics/warehousing hub plus pilot-scale processing to trial a process before full-scale ingredient production. HQ phone 612-400-1416 is Minneapolis (811 Glenwood Ave), not a Turtle Lake plant line. No email on retrieved origin. MDA lists spray drying, oat base, flour tolling, 20,000 lb MOQ, zhubert@purisfoods.com; unused as origin copy. Also Oskaloosa IA on origin. Industrial pea protein, not a first-run copacker.",Bulk ingredient bags (origin pantry/shop); Turtle Lake flexible packaging formats for finished ingredients (origin location page),,,ingredient supplier,https://www.puris.com/; https://www.puris.com/finished-applications/; https://www.puris.com/locations/turtle-lake-wi; https://www.puris.com/contact; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,EXCLUDE,5,origin_says_no_comanufacturing; ingredient_supplier_not_copack; not_first_run; seed_email_unused; seed_moq_unused; phone_is_minneapolis_hq,EXCLUDE. Origin states PURIS does not white-label or co-manufacture. Turtle Lake is an ingredient hub. Do not list as a first-run copacker.,PURIS,puris|turtle lake|WI
5,The Puff Factory LLC (Know Your Fruit),Odell,OR,https://knowyourfruit.com/,,,Single-origin freeze-dried fruit puffs (origin brand copy),"knowyourfruit.com is still a brand landing page (Hood River, 541-400-0818, sales@knowyourfruit.com on that HTML). Oregon Bankruptcy Court 3:22-bk-30470: Chapter 11 filed 2022-03-27, converted to Chapter 7 on 2025-11-04, 341 meeting 2026-01-13. Do not revive a company in Chapter 7 liquidation. Seed Jacqueline@knowyourfruit.com unused. ODA freeze drying/IQF unused.",,,,unknown,https://knowyourfruit.com/; https://www.bkalerts.com/recent-bankruptcy-cases/oregon-bankruptcy-court/3:22-bk-30470/bankruptcy-case-the-puff-factory-llc; https://capitalpress.com/2022/04/06/fruit-snack-company-seeks-bankruptcy-protection/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,5,bankrupt_ch7; do_not_revive; brand_site_stale; seed_email_unused,EXCLUDE. Chapter 7 conversion 2025-11-04. Do not list Know Your Fruit as a live copacker.,The Puff Factory LLC,puff factory|odell|OR
6,SS Nutra,Sandy,UT,,,,"Dietary supplements, softgels, capsules, tablets, powders, skincare (historical origin/directories; not conventional food)","ssnutra.co currently serves sweepstakes-casino content (hijacked or parked). Historical copack page and directories described private-label supplements/skincare at 9587 S 500 W, Sandy, with sales@ssnutra.co and 855-339-0028. That is nutra/supplements, not conventional food/bev. Do not list the hijacked domain as the plant site. Seed contacts unused.",,,,unknown,https://ssnutra.co/; https://www.pickyourown.org/copackers-Utah.php,2026-08-26 00:00:00,EXCLUDE,5,website_hijacked; not_conventional_food; supplements_nutra; seed_phone_unused; seed_email_unused,"EXCLUDE. Supplements/nutra, not conventional food. Domain hijacked to casino pages. Do not list ssnutra.co.",SS Nutra,ss nutra|sandy|UT
7,Snoqualmie Ice Cream,Snohomish,WA,https://snoqualmieicecream.com/,(360) 668-2912,info@snoqualmieicecream.com,"Super-premium ice cream, gelato, and sorbet under Snoqualmie/Sofia; foodservice tubs and pint wholesale of own flavors (origin)","Live snoqualmieicecream.com is the brand, scoop shops, and own-flavor wholesale. Plant/scoop shop at 21106 86th Ave SE, Snohomish, (360) 668-2912. Food-service page sells 1.5 and 3 gallon own-brand tubs, soft-serve mix, and New Zealand-style base mix. No co-pack or private-label page on retrieved origin. ODA locator frozen dessert/gelato/bars plus 300 gallon MOQ, HACCP/Organic/Kosher/SQF Level 2 unused as origin copy. Seed 425-876-5766 and barry@snoqualmieicecream.com unused.",Pints by the case; 1.5 gallon and 3 gallon foodservice tubs; soft-serve mix (origin wholesale),,,unknown,https://snoqualmieicecream.com/; https://snoqualmieicecream.com/wholesale; https://snoqualmieicecream.com/scoop-shops; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,NEEDS_REVIEW,3,copack_off_origin; brand_site; seed_phone_unused; seed_email_unused; seed_moq_unused; seed_certs_unused,Hold. Live Snohomish creamery. Wholesale is own brand. ODA copack/certs not on origin.,Snoqualmie Ice Cream,snoqualmie ice cream|snohomish|WA
8,Teeny Food Corporation (now Quality Harvest Foods),Portland,OR,https://qualityharvestfoods.com/,,,Individually frozen filled bakery snacks and handhelds (Batch 15 origin),teenyfoods.com redirects to qualityharvestfoods.com. This seed is the same Portland frozen-bakery co-man already VERIFIED in Batch 15 as Quality Harvest Foods (quality harvest foods|portland|OR). Seed 503-252-3006 and Darryl.abram@teenyfoods.com unused here because the plant is already digested. Cross-batch website host match.,,,,co-manufacturer,https://qualityharvestfoods.com/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,5,cross_batch_dupe; batch_15_quality_harvest; seed_phone_unused; seed_email_unused,EXCLUDE. Cross-batch dupe of Batch 15 Quality Harvest Foods. Master quality harvest foods|portland|OR.,Quality Harvest Foods,quality harvest foods|portland|OR
9,Townsend Farms,Fairview,OR,https://townsendfarms.com/,503-666-1780,,Fresh and IQF frozen berries and other fruit under Townsend Farms and private label (origin),"Live townsendfarms.com is the Fairview grower-processor-distributor at 23400 NE Townsend Way, office 503-666-1780, fax 503-618-8257. Origin packing page: every package, whether Private Label or Townsend Farms, fresh or frozen, has produce traceability; IQF in owned plants; zippered polybags. Not a first-run kitchen. Seed email field was the website URL, unused as email. No public email on retrieved origin.",IQF zippered polybags; fresh packs (clamshell details unfinished on origin),,Oregon Tilth organic handling (origin); Heart K kosher facility (origin); AIB; Primus Lab fresh audits; GAP/GMP (origin),co-packer,https://townsendfarms.com/; https://townsendfarms.com/packing_and_delivery/; https://townsendfarms.com/info/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_private_label; grower_processor; not_first_run_scale; no_email_on_origin; seed_email_was_url,Import if Codex wants industrial berry IQF private label. Use 503-666-1780. Not first-run.,Townsend Farms,townsend farms|fairview|OR
