,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,Plum Deluxe,Portland,OR,https://www.plumdeluxe.com/,,,Loose-leaf tea (own brand); custom teas for wholesale shops and events,DTC tea brand with a wholesale program for shops and foodservice. Wholesale page offers custom teas for occasions and claims low fees and MOQs for custom blends. No third-party co-pack or contract manufacturing page for outside recipes.,Retail tea packaging; bulk tea for foodservice (claimed),,,brand with co-pack mention,https://www.plumdeluxe.com/; https://www.plumdeluxe.com/pages/wholesale; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,LISTABLE,3,brand_primary; custom_tea_blends; oda_directory_copack; thin_copack_evidence,"Official site is a Portland tea brand storefront. Wholesale page sells Plum Deluxe teas to shops and mentions custom blends with low fees and MOQs, with no numeric MOQ. ODA PNW locator lists them for tea. Seed email andy@plumdeluxe.com not found on public pages. Not a dedicated outside-recipe co-packer.",Plum Deluxe,plum deluxe|portland|OR
1,Bridgetown Natural Foods,Portland,OR,https://www.bridgetownnaturalfoods.com/,(503) 427-8900,info@bridgetownnaturalfoods.com,Portable natural food snacks; granola and bar-style snacks for partner brands,"Designs and manufactures portable natural snacks for entrepreneurial and established organic, gluten-free, and natural brands. Portland HQ plus Mt. Juliet TN plant with announced 2026 line expansion.",,,"B Corporation (score 121.5 claimed, 2025 recert); Kosher (logo displayed on homepage)",co-manufacturer,https://www.bridgetownnaturalfoods.com/; https://www.bridgetownnaturalfoods.com/about; https://www.bridgetownnaturalfoods.com/contact-us; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,VERIFIED,5,two_plants; portland_and_mt_juliet_tn; b_corp; snack_coman,"Official about and home pages confirm manufacturing partnership with natural snack brands. Portland HQ 11601 SE Foster Road, phone (503) 427-8900; Mt. Juliet TN 8051 Eastgate Blvd, phone (615) 583-0414. Public email info@ from privacy policy. Seed yumi.kaneda@ and seed packaging list (shippers, bars, 50lb totes, zipper pouches) and Gluten Free/Organic certs not republished as facility claims. No numeric MOQ.",Bridgetown Natural Foods,bridgetown natural foods|portland|OR
2,Chuck's Seafood,Coos Bay,OR,https://www.chucksseafood.com/,541-888-5525,sales@chucksseafood.com,Canned and smoked seafood; salmon; albacore; oysters; Dungeness crab,"Family seafood market with on-site smokehouse and cannery. History page states commercial canning and processing, including work for suppliers that serve retail accounts such as Whole Foods. No dedicated co-pack offer page.",Cans; seasonal gift boxes,,,brand with co-pack mention,https://www.chucksseafood.com/; https://www.chucksseafood.com/history; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,LISTABLE,3,brand_and_cannery; seed_website_not_url; commercial_canning; thin_copack_page,"Seed website field was the string Chuck's Seafood, not a URL. Live site is chucksseafood.com at 91135 Cape Arago Hwy, Charleston/Coos Bay. Phone 541-888-5525 matches seed. Public email sales@chucksseafood.com on site; seed heath@ not used. ODA lists LACF seafoods and 307 can with no minimum; those details are not republished on the public site so unused. Third-party work is a history-page statement, not a copack menu.",Chuck's Seafood,chucks seafood|coos bay|OR
3,"Desert Springs Bottled Water, LLC",Echo,OR,http://www.desertsrpingsbottledwater.com/,541-376-8345,water@1996ds.com,"Bottled drinking water from an artesian well behind Echo, OR","RO-treated bottled water. Custom labels featuring a company, school, organization, or event logo on Desert Springs water. Bulk water also offered. Not a general beverage co-packer.",Bottles,,EPA-approved source (claimed); annual National Testing Laboratories source test (claimed),private-label producer,http://www.desertsrpingsbottledwater.com/; http://www.desertsrpingsbottledwater.com/custom-labels/; http://www.desertsrpingsbottledwater.com/about-us/; http://www.desertsrpingsbottledwater.com/contact-us/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,3,typo_domain_live; correct_spelling_placeholder; event_custom_labels; not_full_beverage_copack; unlisted_not_current_copack,"EXCLUDE. Seed URL desertsrpings (typo) is still the live plant site: 1000 Fullerton Rd, Echo OR, phone 541-376-8345, toll-free 888-745-4642. Correctly spelled desertspringsbottledwater.com is a Launching Soon placeholder. Seed email desertsprings@bottledwater.com not on site; contact page shows water@1996ds.com. Custom labels are promotional labels on their water, not contract packing of outside beverage formulas. Seed Inquire about Minimums unused.",Desert Springs Bottled Water,desert springs bottled water|echo|OR
4,Forchetta Pasta,Seattle,WA,https://www.forchettapasta.com/,(206) 401-8143,,Fresh pasta; dried pasta; stuffed pasta; gnocchi; gluten-free pasta; sauces,"Custom pasta manufacturer for chefs, restaurants, and retailers. Fresh or dried, made to order, bronze-die. Packaging consulting and private-label pasta consulting. Small-batch specialty through wholesale runs. Typical turnaround claimed 2-3 weeks.",Retail-ready packaging (consulting offered); wholesale cases,,,co-manufacturer,https://www.forchettapasta.com/; https://www.forchettapasta.com/pages/5-custom-pasta; https://www.forchettapasta.com/contact; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,VERIFIED,5,seed_name_typo; phone_updated; custom_pasta; private_label_consulting,"Seed name Forcehtta Pasta. Live brand is Forchetta Pasta at 1225 S Angelo St, Seattle WA. Custom Pasta page confirms made-to-order and private-label consulting. Contact phone (206) 401-8143 replaced seed 425-221-4117. Seed email mike@forchettapasta.com and seed MOQ 200 lbs not republished. No certs published.",Forchetta Pasta,forcehtta pasta|seattle|WA
5,Forté Chocolate,Mount Vernon,WA,https://www.fortechocolates.com/,(360) 588-4859,info@fortechocolate.com,Artisan chocolates; caramels; truffles; bars (own brand),"Luxury chocolate boutique and own-brand production in Skagit Valley. Wholesale of own products is linked in the footer. No co-pack, private-label, or contract manufacturing offer found.",,,Women-Owned and Disability-Owned (claimed),unknown,https://www.fortechocolates.com/; https://www.fortechocolates.com/about-us/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,5,brand_only; chocolate_boutique; not_copacker,Official site is a Mount Vernon boutique brand (700 South 1st Street). About page and shop are own-brand gifts. Seed phone 360-913-1604 not on about; boutique phone (360) 588-4859 and info@fortechocolate.com used. ODA locator listed chocolate; that is not a public co-pack offer. Do not list as a co-packer.,Forté Chocolate,forte chocolate|mount vernon|WA
6,"GF Blends, Inc.",Richland,WA,https://gfblends.com/,509-375-0909,,"Gluten-free dry baking mixes; flours and flour blends; cake, bread, waffle, muffin, cookie, pancake, crepe, vegan, keto, and egg-replacement mixes","Dedicated gluten-free dry-product co-packer since 2009. Blending, packaging, labeling, ingredient sourcing, recipe refinement (not full recipe creation), white/private label, GlutenTox testing, ship to 3PL or distributor. Two dedicated gluten-free lines (Red Line and White Line allergen profiles). First-run and entrepreneur friendly.",Sachets through 50 lb bags; bulk bags 25-50 lb; small bags 10 lb or less,"350 pounds (published small batch); larger runs of 100,000+ pounds also offered","Dedicated gluten-free facilities (claimed); dedicated top-9 allergen-free White Line (claimed). Seed BRCGS not republished. SQF mentioned only in a blog title that returned HTTP 202, unused.",co-packer,https://gfblends.com/; https://gfblends.com/services/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,VERIFIED,5,startup_friendly; dedicated_gluten_free; published_moq; first_run_fit; two_gf_lines,"Official home and services pages confirm gluten-free dry co-packing at 2746 Battelle Blvd, Richland WA. Published small-batch start 350 pounds. Main phone 509-375-0909; Glen 509-308-0459 also listed. Seed gmail not on site so public_email left blank. Seed BRCGS unused. Strong first-run fit for GF dry mixes.","GF Blends, Inc.","gf blends, inc.|richland|WA"
7,Grace Harbor Farms,Custer,WA,https://graceharborfarms.com/,360-366-4151,info@graceharborfarms.com,"Own-brand cream-top milk, yogurt, kefir, cultured buttermilk, goat milk, goat cheese spread; goat-milk skincare","Family farm creamery producing and selling its own dairy. Farm store at 2347 Birch Bay Lynden Rd, Custer WA. No co-pack, private-label, or contract manufacturing offer found.",,,,unknown,https://graceharborfarms.com/; https://www.graceharborfarms.com/pages/contact; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,5,brand_only; farm_creamery; not_copacker; oda_directory_copack_unconfirmed,Official site is a Custer farm brand storefront. Contact confirms 360-366-4151 and info@graceharborfarms.com. Seed david@ not used. ODA locator listed kefir/milk/yogurt with 50 gallon MOQ and HACCP/FSMA; those claims are not on the public site so unused. Not a third-party co-packer.,Grace Harbor Farms,grace harbor farms|custer|WA
8,The Honest Stand,Louisville,CO,https://www.thehoneststand.com/,(918) 289-8449,alexandra@thehoneststand.com,,,,,,unknown,https://www.thehoneststand.com/; https://www.pickyourown.org/copackers-Colorado.php,2026-08-26 00:00:00,NEEDS_REVIEW,1,private_site; login_wall; directory_only; contacts_not_reconfirmed,"thehoneststand.com redirected to honeststand.com and returned a Squarespace Private Site / HTTP 401 after retry. Seed phone, email, organic/GFSI, and larger-volumes-only notes are directory-only and not reconfirmed. Do not invent capabilities. Hold until a public company page is readable.",The Honest Stand,the honest stand|louisville|CO
9,Hot Wachula's,Bartow,FL,https://hotwachulas.com/,863-602-0857,info@hotwachulas.com,BBQ sauces; salsas; seasonings and rubs; marinades (own brand),Own-brand small-batch sauces and salsas (founder Matt Barber). Seed contract-packaging path returned 404. No co-pack or private-label offer found on the live shop. UF/IFAS directory listed salsa/hot sauce co-pack; that is not on the public site.,,,,brand with co-pack mention,https://hotwachulas.com/; https://hotwachulas.com/policies/terms-of-service; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,EXCLUDE,2,brand_primary; copack_page_404; directory_copack_unconfirmed; unlisted_not_current_copack,"EXCLUDE. Live site is a Bartow/Eagle Lake brand shop for competition-grade sauces. Seed URL /p/contract-packaging is 404. Phone 863-602-0857 and info@hotwachulas.com confirmed on terms of service (PO Box 442, Eagle Lake FL). Keep seed city Bartow. Do not list as a confirmed co-packer until a copack page returns.",Hot Wachula's,hot wachulas|bartow|FL
