,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,"Beneficial Blends, LLC",Tampa,FL,https://beneficialblends.com/,800-230-5952,info@beneficialblends.com,"Edible oils and fats; private-label food and beverage liquids; also dietary supplements, lotions, aromatherapy, and cosmetics (same facility)","Turnkey private label, co-packing, re-packing, bulk/wholesale, warehousing, and fulfillment from an 80,000+ sq ft Tampa facility. Services page covers formula customization, sourcing, manufacturing, and secondary packing (rainbow/variety packs, registered shrink, club, display pallets). Food oils are the core edible line; cosmetics/supplements are also offered.",Retail-ready; bulk; totes; bag-in-box; bag-on-valve spray; secondary retail displays,,SQF Level 3; USDA Organic; ECOCERT; Kosher; FDA; GMP; Florida DBPR cosmetic manufacturer; Fresh From Florida (services page),co-packer,https://beneficialblends.com/; https://beneficialblends.com/our-services/; https://beneficialblends.com/contact-us/; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,VERIFIED,5,published_copack; oils_plus_cosmetics_supplements; no_published_moq; po_box_contact,"Contact page prints 800-230-5952, info@beneficialblends.com, and PO Box 20363 Tampa FL 33622 (no street plant address on retrieved pages). Founder-fit depends on oil/liquid SKUs; they also run supplements and cosmetics in the same SQF program. MOQ not published.","Beneficial Blends, LLC","beneficial blends, llc|tampa|FL"
1,Criollos Food USA,Medley,FL,https://www.criollosfoodusa.com/,954-629-7471,mvasquez@criollosfoodusa.com,Dry beans grade #1; oats; rice; brown sugar; lentils; chickpeas; enriched cornmeal,"Homepage: pack to customer needs, artwork and packaging development, certified sourcing, innocuous freezing, logistics/storage, and export. Positions as more than a packer for B2B dry goods. USDA/FDA approved claim on the homepage.",Customer packing (flexible packaging called out; exact bag sizes not itemized),,USDA/FDA approved (homepage claim),co-packer,https://www.criollosfoodusa.com/; https://www.criollosfoodusa.com/contact-us; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,VERIFIED,4,dry_commodity_packer; published_pack_to_needs; no_published_moq; industrial_export_fit,"Address 9110 NW 105th Way, Medley FL 33178 and Mauricio Vasquez contact are on the homepage. This is dry-commodity packing, not sauces or bakery. Seed product list matches. Steep/industrial for a first CPG snack; usable for a bean/rice/cornmeal brand that needs bags packed. MOQ not published.",Criollos Food USA,criollos food usa|medley|FL
2,G.S. Gelato,Fort Walton Beach,FL,https://gsgelato.com/,850-243-5455,info@gsgelato.com,Gelato; sorbetto; non-dairy/plant-based frozen desserts; soft serve; better-for-you formulations; wholesale flavors plus custom programs,"National private-label and custom gelato manufacturer. Custom page covers ideation from stock flavors or new R&D, packaging artwork, production, and DC logistics. Facility page: 70,000 sq ft Fort Walton Beach plant with pasteurization and SQF practitioner oversight. Built for national retail and foodservice, not a micro run.",Customer packaging (artwork through print); specific cup/tub sizes not itemized on retrieved pages,,"SQF; OU Kosher (facility page: kosher-certified 70,000 sq ft plant; kosher article on gsgelato.com)",private-label producer,https://gsgelato.com/; https://gsgelato.com/custom-private-label/; https://gsgelato.com/facility/; https://gsgelato.com/contact/; https://gsgelato.com/gs-gelato-is-kosher-certified/; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,VERIFIED,5,published_private_label; national_retail_fit; no_published_moq,"Contact prints 1785 FIM Blvd, Fort Walton Beach, FL 32547, 850-243-5455, info@gsgelato.com. Strong private-label gelato offer. Minimums discussed off-page (retail LTO article says contact to discuss minimums). First-product founders should expect foodservice/retail volume, not a shared-kitchen batch.",G.S. Gelato,g.s. gelato|fort walton beach|FL
3,GinnyBakes Organics,Miami,FL,https://ginnybakes.com/,,,"Historical own-brand organic gluten-free cookies, bars, crumbles, and baking mixes (company liquidated)","ginnybakes.com returns an empty 114-byte response. Miami Herald / Perishable News reported 2017 closure and assignment-for-benefit-of-creditors liquidation, including equipment auction. Seed directory still lists copack; the plant is dead. Do not revive.",,,,unknown,https://ginnybakes.com/; https://www.miamiherald.com/news/business/article187070413.html; https://www.specialtyfoodresource.com/find-a-business-resource/copackers/,2026-08-26 00:00:00,EXCLUDE,5,closed_2017; dead_website; daily_merge_row; seed_phone_unused; seed_email_unused; do_not_revive,Was on the 2026-08-22 daily merge and not in Batches 01-16 cleaned. Digest closes it as EXCLUDE so it is not imported from the daily file. Seed 305-638-5103 and steve@ginnybakes.com unused. Seed organic/gluten-free/non-GMO/kosher dairy unused.,GinnyBakes Organics,ginnybakes organics|miami|FL
4,Las Olas Confections and Snacks,Orlando,FL,https://lasolasbrands.com/,407-816-9944,,"Specialty chocolate and confections: taffy (Zeno's); tropical candies (Oh!asis, formerly Anastasia); chocolate-dipped cookies/pretzels, bark, toffee (Williams & Bennett); Hoffman's Chocolates; private-label confections","Homepage states an 80,000 sq ft Orlando plant and private-label partnership. Capabilities listed: extruding, enrobing, kitchen/table, molding, taffy, high-speed packaging; brittle, toffee, fudge, meltaway truffles, molded chocolates, buttercreams, bars, bark. Own brands plus private label.",Flow wrap; form-sealed bags; stand-up gusset pouches; paperboard boxes; plastic containers,,SQF Level 2 (homepage),private-label producer,https://lasolasbrands.com/; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,VERIFIED,4,published_private_label; seed_email_unused; no_published_moq; js_challenge_on_subpages,Phone 407-816-9944 is on the homepage. Seed orders@lasolabrands.com unused (not on retrieved pages). About subpage was bot-walled; homepage copy was enough to verify private label. MOQ not published. Seed email domain lasolabrands vs lasolasbrands mismatch also unused.,Las Olas Confections and Snacks,las olas confections and snacks|orlando|FL
5,United Oil Packers,Miami,FL,http://unitedoilcompany.com/products.php4,305-687-6457,contact@unitedoilcompany.com,"Cooking oils and shortenings (corn, soybean; canola, cottonseed, sunflower on request)","Vintage 2006 site: family edible-oil manufacturer, marketer, and distributor packing its own oils in retail, foodservice, and bulk. Quality page describes ISO 9001-style QMS, GMPs, and OU kosher. No co-pack or private-label offer on retrieved pages. HTTPS handshake fails; HTTP pages still serve.",Retail sizes; foodservice packaging; bulk oil shipments,,Kosher certified (Orthodox Union / UO stated on quality page),unknown,http://unitedoilcompany.com/products.php4; http://unitedoilcompany.com/company.php4; http://unitedoilcompany.com/contact.php4; http://unitedoilcompany.com/quality.php4; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,EXCLUDE,4,not_a_copacker; commodity_oil_packer; vintage_site; copack_not_on_site,"UF/IFAS listed this as a copacker. Live pages describe United Oil Packers packing its own commodity oils from 3200 NW 125th Street, Miami, FL 33167. Contact 305-687-6457 and contact@unitedoilcompany.com are on the contact page. Do not list as a founder co-packer.",United Oil Packers,united oil packers|miami|FL
6,Z Natural Foods,West Palm Beach,FL,https://www.znaturalfoods.com/,888-963-6637,,"Bulk and retail superfood powders, custom/proprietary blends, proteins, mushroom and fruit powders, and related natural ingredients (400+ specialty SKUs)","Bulk page: company imports, packs, and distributes ingredients from an FDA-registered cGMP facility; custom and proprietary blends; custom packaging; private-label packaging under the customer's brand; nutrition panels for blends. This is a bulk-ingredient packer/reseller with private-label packing, not a kettle or bakery co-man. No kitchen co-pack menu on retrieved pages.",Custom packaging and private-label packing (sizes not itemized on retrieved bulk page),,"USDA Certified Organic; Kosher; FDA-registered facility; cGMP (bulk page). Non-GMO, raw, vegan, gluten-free called out as product options.",private-label producer,https://www.znaturalfoods.com/; https://www.znaturalfoods.com/pages/bulk; https://www.pickyourown.org/copackers-Florida.php,2026-08-26 00:00:00,VERIFIED,4,bulk_ingredient_reseller; private_label_packing; not_a_kitchen_copack; seed_phone_unused; seed_email_unused,"Seed trap: PYO calls them a copacker. Live offer is bulk ingredients plus private-label packing of powders/blends. Phone on site is 888-963-6637 (Mon-Fri 9AM-5:30PM EST). Seed 561-242-1880 and bulksales@znaturalfoods.com unused. Address 5407 N Haverhill Rd Ste 336 appears on PYO/LinkedIn, not confirmed on retrieved pages so not used as a plant claim. Useful for a powder/superfood founder; not for sauces, bakery, or beverages.",Z Natural Foods,z natural foods|west palm beach|FL
7,Hongar Farms Gourmet Foods,Tucker,GA,https://hongarfarms.com/,770-938-9884,info@hongarfarms.com,"Herb-infused extra virgin olive oils, avocado oils, and EVOO blends; balsamic vinegars; private-label cooking oils, seasonings, and flavored sugars","Tucker plant private-label program: customer chooses oil, bottle, and infusion; Hongar bottles under the customer's brand. Cold-fill infused oils. Own retail brands (Hongar Farms, Benissimo, Lesley Elizabeth, and others) plus private label. SQF facility inspected by Georgia Department of Agriculture (private-label FAQ).","Glass bottles in published shapes (cruet, castollata, tall round, etched, dorica, squeeze, grape cluster); 240 ml and 375 ml examples on the shop",96 bottles (16 six-pack cases) of any one flavor,SQF (private-label and contact claims),private-label producer,https://hongarfarms.com/; https://hongarfarms.com/pages/private-label; https://hongarfarms.com/pages/contact; https://hongarfarms.com/pages/about-us; https://www.pickyourown.org/copackers-Georgia.php,2026-08-26 00:00:00,VERIFIED,5,published_private_label; published_moq; founder_relevant_moq; seed_email_unused,"Contact: 2121 Tucker Industrial Road, Tucker, GA 30084; 770-938-9884; info@hongarfarms.com. Private-label page also prints privatelabel@hongarfarms.com and 96-bottle floor with no setup fees and 3-4 week lead. Seed todd@hongarfarms.com unused. Seed 'cold-fill only, glass or plastic, vinegars' mostly matches; plastic bottles not confirmed on retrieved private-label bottle list. Strong small-run oil signal.",Hongar Farms Gourmet Foods,hongar farms gourmet foods|tucker|GA
8,Dutchland Foods,Lester,IA,https://www.dutchlandfoods.com/,888-497-7243,sales@dutchlandfoods.com,Frozen ready-to-bake pastries; European-style butter pastries; pie dough (Pappys); Pastry Puffins; croissant and Danish dough; artisan bread; fundraising pastry programs,"Fourth-generation Van Wyhe family pastry manufacturer in Lester since 1992. Homepage and brand pages offer wholesale, private label, foodservice, cafe/chain, and fundraising. R&D can create custom products. Seed euroclassicpastries.com is a Spaceship domain-for-sale page, not the company.","Frozen pastry/dough packs for bakery, foodservice, and fundraising (specific retail counts not itemized on retrieved pages)",,,co-manufacturer,https://www.dutchlandfoods.com/; https://www.dutchlandfoods.com/about; https://www.dutchlandfoods.com/contact; https://www.dutchlandfoods.com/dutchland-classic-pastries; https://www.specialtyfoodresource.com/find-a-business-resource/copackers/,2026-08-26 00:00:00,VERIFIED,5,website_corrected; seed_url_for_sale; euroclassic_identity_resolved; seed_email_unused; no_published_moq; seed_certs_unused,"Identity check: Dutchland Frozen Foods (Lester, 205 Main St / 205 North Maine in directories) is Dutchland Foods at dutchlandfoods.com. Contact prints 888-497-7243, 712-478-4349, fax 712-478-4554, sales@dutchlandfoods.com. Seed info@dutchlandfrozenfoods.com unused. Seed kosher/organic unused (not on retrieved pages). Euroclassic was a directory alias; the domain is for sale and is not the live site. Not in Batches 01-16 cleaned. Import Dutchland Foods only.",Dutchland Foods,dutchland foods|lester|IA
9,Shells by Design (ShellsByDesign),Garner,IA,https://www.shellsbydesign.com/,,,"Frozen tart shells (sweet, savory, chocolate, graham, gluten-free) and RTE frozen dessert tarts (directory and 2024 merger press; not confirmed on a working company page)","Official site TLS certificate expired; curl with insecure TLS and WebFetch hit a JS challenge or 500. September 2024 Bake Magazine / Food Business News: merged into French Gourmet (Sparks, NV) with the Garner 30,000 sq ft plant remaining and co-founder David Lichtenstein as director of operations. frenchgourmet.com is a frozen-dough catalog with no co-pack page retrieved. Copack/private label not confirmed on a live healthy company URL.",,,,unknown,https://www.shellsbydesign.com/; https://www.frenchgourmet.com/; https://www.bakemag.com/articles/19355-french-gourmet-shellsbydesign-merge; https://www.pickyourown.org/copackers-Iowa.php,2026-08-26 00:00:00,NEEDS_REVIEW,3,expired_tls; bot_wall; 2024_merger_french_gourmet; seed_phone_unused; seed_email_unused; copack_not_on_live_site,"Seed 877-766-1122 and info@shellsbydesign.com unused without a working page. Merger press says the Garner plant continues, but do not import as a founder co-packer until shellsbydesign.com or frenchgourmet.com publishes copack. Hold.",Shells by Design,shells by design|garner|IA
