,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,Smude Enterprises,Pierz,MN,https://www.smudeoil.com/,320-468-6925,smude@smudeoil.com,Cold-pressed sunflower oil; microwave popcorn; spices; goat milk products; bulk oil (origin shop),"Live smudeoil.com is a branded oil and popcorn shop at 500 Centennial Drive, Pierz. Origin states MN Department of Agriculture inspects the plant and claims kosher and non-GMO. Origin does not state third-party co-pack. Shop nav lists 3 Lonetti Sisters, Parizo Spicy Pizza Oil, and Crazy Good Dressing (could be packed or resold; not labeled as co-pack). MDA directory lists dry goods up to 2 pounds and oil bottling any size, unused as origin copy. Seed Tom@SmudeOil.com unused.",,,Kosher (origin claim),unknown,https://www.smudeoil.com/; https://www.smudeoil.com/contact; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,NEEDS_REVIEW,3,copack_off_origin; brand_site; other_brands_on_shop; seed_email_unused; seed_moq_unused,"Hold. Live brand with MDA copack listing and other brands on the shop, but no co-pack page on origin.",Smude Enterprises,smude enterprises|pierz|MN
1,Sno Pac Foods,Caledonia,MN,https://snopac.com/,800-533-2215,,Organic frozen fruits and vegetables (origin),"Live snopac.com is the Gengler family own-brand processor at 521 Enterprise Drive, Caledonia. Homepage, story, products, and contact describe Sno Pac retail and distributor sales. Food-service/bulk path 404 or TLS fail this check. No co-pack or private-label language on retrieved origin pages. MDA lists copacker with processing 40,000 pounds raw and packaging 20,000 pounds; those floors unused. Seed 507-725-5281 and snopac@snopac.com unused.",,,Organic (origin claim),unknown,https://snopac.com/; https://snopac.com/contact-us; https://snopac.com/our-story; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,NEEDS_REVIEW,3,copack_off_origin; brand_site; seed_phone_unused; seed_email_unused; seed_moq_unused; foodservice_page_down,"Hold. Real organic frozen plant. Origin is own brand, not a confirmed third-party co-pack.",Sno Pac Foods,sno pac foods|caledonia|MN
2,Stittsworth Smokehouse Company,Turtle River,MN,https://www.stittsworthmeats.com/,218-586-2149,,Brats; summer sausage; snack sticks; beef jerky and strips; emulsified hot dogs and wieners; smoked bacon; ground beef patties; wild game (origin copack page),"Live stittsworthmeats.com has dedicated co-pack and private-label pages. Turtle River smokehouse at 7972 Farley Dr NE (no retail). Bemidji butcher shop at 722 Paul Bunyan Dr NW. Origin names Force of Nature, 1000 Hills, Big Fork, and Protein Outfitters as copack brands. D2C startups scaling past their kitchen named as a fit. Pilot run then MOQs in a signed agreement (no public number). About page: 100,000 lb/month, 28 team members. Seed 218-586-4201 and mychals@stittsworthmeats.com unused. Copack inquiry also lists Bemidji 218-751-1320.",8 oz retail hot dog packs; 12 oz / 4-link brat retail packs; 1 lb and 2 lb summer sausage logs; vacuum-sealed jerky (origin copack page),,USDA-inspected (origin),co-packer,https://www.stittsworthmeats.com/; https://www.stittsworthmeats.com/pages/wholesale-co-packing; https://www.stittsworthmeats.com/pages/contact; https://www.stittsworthmeats.com/about; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; first_run_possible; seed_phone_unused; seed_email_unused; seed_moq_unused,Strongest meat first-run plant in this batch. Import. Use Turtle River smokehouse 218-586-2149 from origin contact. Keep stittsworth smokehouse company|turtle river|MN.,Stittsworth Smokehouse Company,stittsworth smokehouse company|turtle river|MN
3,Stone Gate Foods,Shakopee,MN,https://stonegate-foods.com/,952-445-1350,,Frozen ready-to-eat and ready-to-cook specialty foods for private label and contract manufacturing (origin),"Live stonegate-foods.com states it is a co-packaging facility and private label manufacturer. 40,000 sq ft plant at 4218 Valley Industrial Blvd. S., Shakopee. Legal entity Second Bite Foods, Inc. dba Stone Gate Foods on origin terms. HACCP and SQF Level 2 on origin. Contact form only; no public email. Seed 952-215-0475 and reversman@ unused. MDA 1 full production day unused.",,,SQF Level 2 (origin); HACCP (origin),co-manufacturer,https://stonegate-foods.com/; https://stonegate-foods.com/contact/; https://stonegate-foods.com/terms-and-conditions/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; sqf_level_2; seed_phone_unused; seed_email_unused; seed_moq_unused; no_email_on_origin; not_first_run_scale,Import if Codex wants frozen specialty co-man scale. Origin confirms third-party co-pack. Not a kitchen-table first run.,Stone Gate Foods,stone gate foods|shakopee|MN
4,Swanson Meats,Minneapolis,MN,https://www.swansonmeats.com/,,,"Beef, poultry, pork, lamb, game, veal, seafood, dairy, and deli; co-pack and private label meats (origin homepage)","Live swansonmeats.com homepage has Co-Packing Services, Custom Processing, and Private Label Capabilities. SQF certified on homepage. Staff page lists an SQF Practitioner. Address 2700 26th Avenue South, Minneapolis. Contact page is a form with fax 612-721-7967 and no phone or email. Seed 612-468-2014 and ross@swansonmeats.com unused. Seed halal, gluten-free, and Child Nutrition Label unused (MDA only).",,,SQF (origin homepage),co-manufacturer,https://www.swansonmeats.com/; https://www.swansonmeats.com/contact/; https://www.swansonmeats.com/about/our-staff/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,4,origin_confirms_copack; no_phone_on_origin; no_email_on_origin; seed_phone_unused; seed_email_unused; seed_certs_partially_unused; not_first_run_scale,Import only if Codex wants a Minneapolis meat purveyor that also copacks. Phone and email not on retrieved origin.,Swanson Meats,swanson meats|minneapolis|MN
5,The Secret Garden,Park Rapids,MN,https://www.secretgardengourmet.com/,218-252-5858,,Dehydrated soup and entree mixes; dip and cheese ball mixes; pancake mixes; mustards and hot sauces; wild rice seasoning (origin shop),Live secretgardengourmet.com is a founder brand shop. About page is Anne Morgan farm-kitchen story with no co-pack offer. About footer phone 218-252-5858. MDA lists dry-mix copacker at 218-732-4866 / sgmorg@wcta.net unused. No public email on retrieved origin.,,,,unknown,https://www.secretgardengourmet.com/; https://www.secretgardengourmet.com/about; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,NEEDS_REVIEW,3,copack_off_origin; brand_site; seed_phone_unused; seed_email_unused,Hold. Live mix brand. Copack is MDA only.,The Secret Garden,the secret garden|park rapids|MN
6,Panorama Wellness Production (formerly Eat-Fit-Go),Omaha,NE,,,,Vacuum-sealed prepared meals (auction and PickYourOwn copy only),"No live origin. The Auction Mill wall-to-wall liquidation of Eat-Fit-Go / Panorama Wellness Production at 8877 S. 137th Circle, Omaha, with pickup dates in late November 2025. 25,000 sq ft meal plant, assets sold. Conventional food (vacuum meals), not cannabis/CBD. Seed (531) 200-3646 unused. Do not revive.",,,,unknown,https://www.theauctionmill.com/auctions/detail/bw150592; https://www.pickyourown.org/copackers-Nebraska.php,2026-08-26 00:00:00,EXCLUDE,5,closed; asset_liquidation_2025; formerly_eat_fit_go; not_cannabis; do_not_revive; seed_phone_unused; no_website,Dead listing. Do not import. Plant liquidated in 2025.,Panorama Wellness Production,panorama wellness production|omaha|NE
7,Pyramid Food Service Corp,Newark,NJ,,,,"Fully cooked trays, individual meals, and empanadas (SFR directory text only)","No live origin. pyramidfoodservice.com and chefselect361.com did not resolve this check. Specialty Food Resource lists Pyramid / Chef Select 361 at 93-105 Albert Avenue as FDA/USDA prepared-meal copack. MapQuest marks Chef Select 361 permanently closed; Pyramid Food Service hours listing is not a permanent close. LinkedIn describes wholesale / mobile catering. On the 2026-08-22 daily merge; not in Batches 01-24 cleaned.csv. Seed 973-900-6153, Operations@Pyramidfoodservice.com, and info@chefselect361.com unused.",,,,unknown,https://www.specialtyfoodresource.com/find-a-business-resource/copackers/; https://www.mapquest.com/us/new-jersey/chef-select-361-380511917; https://www.mapquest.com/us/new-jersey/pyramid-food-service-418865326,2026-08-26 00:00:00,NEEDS_REVIEW,2,no_website; chef_select_361_mapquest_closed; directory_only; seed_phone_unused; seed_email_unused; daily_merge_2026-08-22; not_in_01_24,Hold. Daily-merge leftover with dead domains. Do not invent contacts.,Pyramid Food Service Corp,pyramid food service corp|newark|NJ
8,Casa Visco Finer Foods,Schenectady,NY,https://casavisco.com/,518-377-8814,info@casavisco.com,Pasta and pizza sauces; white-label / private-label sauces (origin),"Live casavisco.com. Distributor and Private Label page asks prospects to download the copack brochure first. White Labeling page names Beekman 1802 Mortgage Lifter at Target. Contact: 819 Kings Road, 518-377-8814, info@casavisco.com. Banner: no longer offering Kosher products at this time. Origin PDF lists jar sizes. Not a first-run kitchen.","Glass jars 16, 26, 32, 64, and 128 oz; 26 oz square mason most popular (origin private-label PDF)",,,co-packer,https://casavisco.com/; https://casavisco.com/contact-us/; https://casavisco.com/distributor-private-label/; https://casavisco.com/white-labeling/; https://casavisco.com/wp-content/uploads/2015/07/Casa-Visco-Private-Label-Information.pdf,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; kosher_withdrawn; not_first_run_scale,Import if Codex wants a Schenectady sauce white-label plant. Origin confirms copack. Kosher is withdrawn on origin.,Casa Visco Finer Foods,casa visco finer foods|schenectady|NY
9,JDM Specialty Foods (Renko's Sausage),Elmira Heights,NY,http://www.renkossausage.com/copackaging-information/,607-732-1425,joe@jdmspecialtyfoods.com,"Salsa, dressings, condiments, sauces, mustard, dried foods; meat products under USDA license (origin copack page)","Live renkossausage.com copack page: Let JDM Specialty Foods Be Your CoPackers. Address 250 East 14th Street, Elmira Heights, NY 14903. Phone and joe@jdmspecialtyfoods.com on origin. USDA license claimed on origin. Seed city was blank; filled from origin. Seed email joe@jdmspecialityfoods.comjdmspecialityfoods was a scrape typo, unused. Cornell GFSI level 2 unused (not on retrieved origin).",,,USDA license claimed (origin copack page),co-packer,http://www.renkossausage.com/copackaging-information/; https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; city_filled_elmira_heights; first_run_possible; seed_email_typo_unused; seed_certs_unused,Import. Small Elmira Heights wet and USDA meat copack. Keep jdm specialty foods||NY.,JDM Specialty Foods,jdm specialty foods||NY
