,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,Diana Food (Symrise),Silverton,OR,https://www.diana-food.com,503-873-3600,,"Industrial fruit, vegetable, meat, and seafood ingredients; powders; flakes; culinary preparations; nutraceutical actives","Symrise diana food portfolio sells clean-label ingredients to food, beverage, baby food, and supplement manufacturers. Silverton OR plant is an industrial ingredient site (local produce into flakes, powders, inclusions, mirepoix-style preps). Not a founder co-pack plant.",,,,unknown,https://www.diana-food.com; https://www.diana-food.com/contact; https://www.diana-food.com/news-events/article/?cHash=77ac421ba14d29a034ba1cee92136408&tx_news_pi1%5Bnews%5D=24437; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,5,industrial_ingredients; not_founder_copack; symrise_portfolio; seed_trap,"Official site is a Symrise ingredient catalog (taste, texture, food protection, health actives), not contract packing of outside finished goods. Contact form is for diana food solutions. Seed 2,000 lb MOQ, SQF, and Taylor.Chaisson@symrise.com were not republished on pages reviewed so unused. ODA PNW locator listed drum-dried fruit blends; that is industrial drying, not small-run co-pack. Exclude for Gen Z first-product audience.",Diana Food,diana food|silverton|OR
1,Essential Wholesale & Labs (NourishUs Naturals),Portland,OR,https://nourishusnaturals.com/,(866) 252-9639,,Skincare; haircare; bath and body; cosmetic ingredients (not food),"White label, private label, and custom formula cosmetics. Seed URL essentiallabs.com/pages/private-labeling still describes skincare/haircare white labeling and redirects the homepage to NourishUs Naturals.",,"$75 order minimum (cosmetics white label, claimed on private-labeling page)",,unknown,https://essentiallabs.com/pages/private-labeling; https://nourishusnaturals.com/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,5,cosmetics; not_food; seed_trap; redirected_to_nourishus,"Confirmed cosmetics/personal care, not food or beverage. Private-labeling page is written as NourishUs Naturals Team. Homepage essentiallabs.com 302/redirects to nourishusnaturals.com. Seed contactus@essentiallabs.com not used. $75 minimum is a cosmetics wholesale floor, not a food MOQ. Exclude.",Essential Wholesale & Labs,essential wholesale & labs|portland|OR
2,Euphoria Chocolate Company,Eugene,OR,https://euphoriachocolate.com/,(541) 344-4914,sales@euphoriachocolate.com,"Own-brand truffles, artisan chocolates, and confectionery; chocolate sauces sold to local restaurants",Eugene factory plus three retail shops. Wholesale of Euphoria-branded chocolate. Custom chocolate molds and chocolate fountain rentals. No third-party co-pack or private-label manufacturing page for outside recipes.,Retail gift boxes,,,unknown,https://euphoriachocolate.com/; https://euphoriachocolate.com/pages/about-us; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,5,brand_only; not_copacker; oda_directory_copack,"Official site is a chocolate brand storefront. About page lists Factory Outlet at 4080 Stewart Road and postal 4090 Stewart Rd, Eugene. Wholesale phone (541) 344-4914 and sales@euphoriachocolate.com; retail (541) 344-4605; info@ for general inquiries. Custom molds are a retail service, not contract manufacturing. ODA listed chocolate/enrobed/wine infusions; those copack claims are not on the company site. Seed Inquire about Minimums unused.",Euphoria Chocolate Company,euphoria chocolate company|eugene|OR
3,Eurobake Corp (Eurobake Bakery),Portland,OR,https://www.eurobakebakery.com,1-503-261-8888,,"Own-brand breads, cakes, sweet breads, buns, rolls, and pastries","Family artisan bakery (since 1999) selling wholesale of its own baked goods to grocery, specialty shops, and Portland restaurants. Wholesale application is for buying Eurobake products, not packing outside formulas. Distinct from Euro-Bake / Unibake in Florida (eurobake.us).",,,,unknown,https://www.eurobakebakery.com; https://www.eurobakebakery.com/wholesale; https://eurobakebakery.com/about-eurobake-bakery/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,5,brand_only; wholesale_own_bakery; not_florida_eurobake; oda_directory_copack,"Site confirms own-brand bakery wholesale in 10 western states. No co-pack, private-label, or contract manufacturing offer. Seed phone 360-553-8950 not on site; live wholesale line is 1-503-261-8888. Seed josh@eurobakebakery.com and seed GMP/SQF/FSMA plus long packaging list were not republished on pages reviewed. Do not confuse with eurobake.us (St. Petersburg FL). Exclude.",Eurobake Corp,eurobake corp|portland|OR
4,K'UL Chocolate,Bellingham,WA,https://kulchocolate.com/,877-342-2452,,Own-brand organic bean-to-bar chocolate bars; baking chocolate; cacao beans,Direct-trade bean-to-bar factory making K UL branded bars. Wholesale account signup sells their chocolate. No third-party co-pack or private-label chocolate manufacturing page.,Retail bars,,USDA Organic (claimed for their products); Non-GMO (claimed as implied by USDA Organic),unknown,https://www.kulchocolate.com; https://kulchocolate.com/; https://kulchocolate.com/wholesale/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,5,brand_only; not_copacker; oda_directory_copack,"Official site is a DTC chocolate brand. Claims USDA Organic for all K UL products and bean-to-bar production in their factory. Footer Bellingham, WA 98225/98229 and 877-342-2452. Seed 5,000 lbs MOQ, GMP, Kosher, and paul@kulchocolate.com were not on pages reviewed. ODA listed chocolate bar coating manufacturing; no outside-recipe copack offer found. Exclude.",K'UL Chocolate,k'ul chocolate|bellingham|WA
5,Merino's Seafood Market,Westport,WA,https://merinoseafoods.com/,360-268-5009,,"Fresh, smoked, frozen, and tinned seafood (own brand); fish and chips window","Westport seafood market with hand-packed tins (salmon, albacore, smoked oysters, Dungeness crab, razor clams) and smoked salmon. Retail and online store. No co-pack or private-label offer.",Tins; vacuum-packed frozen,,,unknown,https://merinoseafoods.com/; https://merinoseafoods.com/contact-merinos/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,5,brand_and_market; not_copacker; oda_directory_copack,"Live site is a seafood market at 301 E. Harbor St, Westport, WA 98595, phone 360-268-5009. Premium tinned line is their own product. Seed contact URL is a contact form, not an email. Seed Low MOQ unused. ODA listed canning/seafood copack; that offer is not on the company site. Exclude.",Merino's,merino's|westport|WA
6,"Northern Fish Products, Inc.",Tacoma,WA,https://www.northernfish.com,(253) 475-3858,rswanes@northernfish.com,Seafood (own wholesale and retail); smoked products implied by history as a seafood house,Century-old Tacoma seafood company with retail stores and a wholesale program (custom wholesale programs). No co-pack or private-label manufacturing page found.,,,,unknown,https://www.northernfish.com; https://www.northernfish.com/wholesale; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,4,processor_wholesale_own_seafood; not_copacker; oda_directory_copack; curl_bot_wall,"Homepage and wholesale page confirm seafood wholesale from 3911 South 56th Street, Tacoma, WA 98409. Wholesale phone (253) 475-3858 and rswanes@northernfish.com (matches seed email). Seed phone 253-592-6311 not on wholesale page. Seed 1000 lbs MOQ and SQF/Kosher/HACCP not republished on pages reviewed. Product-listing URL 404. Curl later hit a bot check; WebFetch homepage was readable. ODA copack listing not evidenced on site. Exclude.",Northern Fish Products,"northern fish products, inc.|tacoma|WA"
7,Northwest Expressions,Shelton,WA,https://nwexpressions.com/pages/co-paking,(360) 229-0976,info@nwexpressions.com,Cookies; gourmet chocolate; chocolate bars; toffee; peanut brittle; flavored popcorn; confections,"Small Washington co-manufacturer aimed at startups whose other copackers require too-large batches. Wire-cut and deposited cookies, shell-molded chocolate bars with or without inclusions, enrobing, toffee, candied popcorn. Equipment listed includes double rack oven, cookie machines, 160 qt mixer, chocolate bar molding line, automated flow wrappers, pouch filler, enrobing lines.",Flow wrap; pouches; case shrink wrap; labeled retail packs,,,co-manufacturer,https://nwexpressions.com/pages/co-paking; https://nwexpressions.com/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,VERIFIED,5,startup_friendly; seed_url_typo_co-paking; brand_plus_copack; first_run_fit,Dedicated co-packing page is live (seed path co-paking is the real URL). Phone (360) 229-0976 matches seed. Public email on copack page is info@nwexpressions.com; seed bonnie@ not used. About-us URL 404. No numeric MOQ and seed FDA unused. Strong Gen Z / first-run confection fit. Also sells own chocolates and cookies.,Northwest Expressions,northwest expressions|shelton|WA
8,"Marina Foods, Inc.",Medley,FL,https://www.marinafoods.com,786-888-0129,info@marinafoods.com,"Cooking and edible oils (soybean, corn, canola, peanut, sunflower, olive); shortenings; vinegars and cooking wines; mayonnaise; salad dressings; sauces; mustard; BBQ sauce; pancake and waffle syrup","Manufacturer, packer, and supplier of oils, dressings, and sauces with private labeling, custom formulations, and multiple pack sizes. Foodservice, retail, bulk, and export. Own tractor-trailer fleet. Commodity-oil pricing guidance. Brands include Marina, Chef's Recipe, and DiMarco.",Retail sizes; foodservice packaging; bulk shipments,,Kosher OU (claimed); HACCP plan (claimed); USDA inspected (claimed); ANSI/ISO/ASQ Q9001-2000 quality program (claimed),co-manufacturer,https://www.marinafoods.com; https://www.marinafoods.com/services; https://www.marinafoods.com/quality-assurance; https://www.marinafoods.com/contact; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,VERIFIED,5,oils_and_dressings; private_label; kosher_ou; higher_scale,"Site confirms manufacturing/packing plus private labeling and custom formulations. Plant 11125 NW 124th Street, Medley, FL 33178. Phone 786-888-0129 and info@marinafoods.com match seed. No numeric MOQ. QA page claims OU kosher, HACCP, USDA inspection, and ISO 9001-2000. More foodservice/commodity oil than first-jar founder copack, but a real private-label plant.","Marina Foods, Inc.","marina foods, inc.|medley|FL"
9,"Palmetto Canning Co., Inc.",Palmetto,FL,https://palmettocanning.com/,941-722-1100,Orders@PalmettoCanning.com,Pasta sauces; steak sauces; BBQ; ketchups; marinades; soy; cooking wines; vinegars; Worcestershire; teriyaki; buffalo wing sauce; lemon juice; historic jelly brand Palmalito (guava jelly discontinued),"Private label and co-pack of bottled and jarred foods since 1927. Turnkey, toll, or hybrid packing. Product development. In-house cooking-wine winery (De Vinco subsidiary) and bulk cooking-wine sales. Canning services retired after 99 years; they point startups to an Other Packers page. Family plant on US 41, Palmetto.",Bottles; jars,"Plant capacity described as in excess of 50,000 units annually on average; some synergistic items may run lower (inquire)","Kosher (Flame K and Orthodox Union, claimed on About)",co-packer,https://palmettocanning.com/; https://palmettocanning.com/about-us/; https://palmettocanning.com/contract-bottled-food-manufacturing/; https://palmettocanning.com/contact-us/; https://palmettocanning.com/faq/; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,VERIFIED,5,not_first_run; canning_retired; bottled_only_now; redirects_startups; kosher,"Live copack manufacturer of bottled sauces and cooking wines. Phone 941-722-1100 matches seed. Food copack email Orders@PalmettoCanning.com (also WineOrders@ for wine). Seed pcrbaggs@tampabay.rr.com unused. Published volume note: typical need above 50,000 units/year, so poor first-run fit; they explicitly say machinery is geared to mass production. Keep as a Florida wet-pack plant, not a canning co-packer.",Palmetto Canning Co. Inc.,palmetto canning co. inc.|palmetto|FL
