,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,Trillium Foods (formerly Southern Classic Food Group),Brundidge,AL,https://trilliumfoods.com/,(334) 735-3400,,Savory sauces; dressings; condiments; mayonnaise; sweet syrups and sauces; beverage mixes; toppings and fillings,Contract manufacturing of liquid food and beverage; R&D and culinary; match existing formulas; QSR/CPG/foodservice scale,,,,co-manufacturer,https://www.southernclassicfood.com/; https://trilliumfoods.com/; https://trilliumfoods.com/about-us/; https://trilliumfoods.com/why-trillium-foods/; https://trilliumfoods.com/contact-us/; https://www.pickyourown.org/copackers-Alabama.php,2026-08-26 00:00:00,VERIFIED,5,rebrand_trillium_foods; large_scale; qsr_cpg_focus; not_first_run,"southernclassicfood.com redirects to Trillium Foods. About page still lists a Brundidge AL plant at 1000 Magnolia Blvd with (334) 735-3400, plus plants in Lancaster PA and Cincinnati OH and HQ Oakbrook Terrace IL. Claims 500000+ sq ft and over 1 billion lb/year. Seed quality@southernclassicfood.com not shown. Email on contact is form-only. Large-scale liquid co-man, not a small-run fit.",Trillium Foods,southern classic food group|brundidge|AL
1,Cahill Desert Products,Phoenix,AZ,https://cahilldesertproducts.com/,877-224-4557,,,,,,,unknown,https://cahilldesertproducts.com/; https://www.pickyourown.org/copackers-Arizona.php; https://www.specialtyfoodresource.com/find-a-business-resource/copackers/,2026-08-26 00:00:00,EXCLUDE,5,dead_company; dead_domain; do_not_revive,Direct fetch of cahilldesertproducts.com failed (connection error). PickYourOwn Arizona update for 2025 assumes permanently closed (page gone; no current web presence). Do not revive from SFR/directory. Seed champagnesauces@aol.com and prickly pear private-label claims not used.,Cahill Desert Products,cahill desert products|phoenix|AZ
2,Cinnabar Specialty Foods (Neera's),Prescott,AZ,http://www.cinnabarfoods.com/,928-778-3687,,Chutneys; savory pastes; marinades; spice blends; rice and dal mixes (own Neera's brand),Own-brand small-batch cooking (from indexed homepage). Co-pack not stated on retrieved homepage.,,,,brand with co-pack mention,http://www.cinnabarfoods.com/; https://www.specialtyfoodresource.com/find-a-business-resource/copackers/,2026-08-26 00:00:00,NEEDS_REVIEW,2,brand_primary; site_fetch_timeout; directory_copack; phone_updated_from_indexed_homepage,Direct HTTPS/HTTP fetch timed out or 500 (retried). Search-indexed official homepage is a Neera's salt-free brand storefront (1134 W Haining Street Prescott; 928-778-3687) with no co-pack menu. SFR/Arizona directories still list them as a copacker. Seed 866-293-6433 and sales@ not confirmed on indexed homepage. Hold until a live co-pack page loads.,Cinnabar Specialty Foods,cinnabar specialty foods|prescott|AZ
3,Urban Oven,Chandler,AZ,https://urbanoven.com/,(480) 921-2476,,Crackers; cookies (own brand),Own-brand bakery (from indexed contact/product nav). Co-pack not stated on retrieved contact page.,,,,brand with co-pack mention,https://urbanoven.com/; https://urbanoven.com/contact/; https://www.specialtyfoodresource.com/find-a-business-resource/copackers/,2026-08-26 00:00:00,NEEDS_REVIEW,2,site_503; brand_primary; city_corrected_chandler; seed_phone_typo_899,Homepage and contact returned HTTP 503 on two tries. Search-indexed contact page (copyright 2025) lists 2431 N Arizona Ave Suite 4 Chandler AZ (seed city Tempe corrected) with (480) 921-2476 and (866) 770-6836. Seed 899-770-6836 looks like a typo of 866-770-6836. gene@ not confirmed on live fetch. SFR lists crackers copacker; live site could not be verified. Hold.,Urban Oven,urban oven|chandler|AZ
4,Ajmera Innovations,Anaheim Hills,CA,http://ajmerainnovations.com/,866-860-3671,,,,,,,unknown,http://ajmerainnovations.com/; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf; https://www.pickyourown.org/copackers-California.php,2026-08-26 00:00:00,EXCLUDE,5,dead_domain; do_not_revive; outdated_2015_directory,ajmerainnovations.com does not resolve (curl HTTP 000). PickYourOwn California already presumed closed as of 2021. 2015 CLFP PDF is outdated. Do not revive tea/RTD coffee listing. Seed info@ not used.,Ajmera Innovations,ajmera innovations|anaheim hills|CA
5,Blossom Valley Foods,Gilroy,CA,https://blossomvalleyfoods.com/,408-848-5520,,Sauces; condiments; syrups; juices,Co-packing and manufacturing; custom co-packing (stated on construction homepage),,,,co-packer,https://blossomvalleyfoods.com/; http://blossomvalleyfoods.com/; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,2026-08-26 00:00:00,VERIFIED,4,site_under_construction; sauces_syrups_juices; thin_detail,"Homepage (new site under construction) still states they are a co-packer and manufacturer for sauces, condiments, syrups and juices and invites custom work. Address 20 Casey Lane Gilroy CA 95020; 408-848-5520. Seed info@blossomvalleyfarms.com not on page. Seed organic not republished. Pepper Plant order site linked but returned empty/114 bytes. Thinner than a full capabilities page but official co-pack claim is live.",Blossom Valley Foods,blossom valley foods|gilroy|CA
6,E. Waldo Ward & Son,Sierra Madre,CA,https://waldoward.com/,626-355-1218,,Jams; jellies; marmalades; sauces; olives; condiments; pickled fruits (own brand),Own-brand manufacturing; wholesale/distributor sales. No co-pack offer found.,Jars (own retail SKUs),,,unknown,https://waldoward.com/; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,2026-08-26 00:00:00,EXCLUDE,5,brand_only; not_copacker,Live site is a gourmet jam/jelly storefront (history to 1891). Distributor line on homepage is 626-355-1218. No co-pack or private-label manufacturing page. Matches 2015 PDF review note still_claims_copack=no. Seed 800-355-9273 and jelly@ not shown on homepage. EXCLUDE brand-only.,E. Waldo Ward & Son,e. waldo ward & son|sierra madre|CA
7,"Golden West Specialty Foods, Inc.",Brisbane,CA,https://gwsfoods.com/,(415) 657-0123,sales@gwsfoods.com,Sauces; seasonings; mustards; shelf-stable specialty and ethnic foods (20-plus in-house brands),Manufacturer and distributor of own brands; About page lists private label among trades served. No dedicated co-pack page.,Retail and foodservice sizes (own catalog),,,brand with co-pack mention,https://gwsfoods.com/; https://gwsfoods.com/about; https://gwsfoods.com/wholesale; https://gwsfoods.com/contact; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,2026-08-26 00:00:00,LISTABLE,3,brand_primary; thin_copack_evidence; own_brands_manufacturer,"300 Industrial Way Brisbane CA. Phone (415) 657-0123 and (800) 584-4481; sales@ on home, info@ on About. They manufacture 20-plus in-house brands and sell wholesale. About WHO WE ARE lists private label as a trade channel, which is thin third-party evidence. Two-case wholesale minimum is for buying their products, not a co-pack MOQ (left blank). Seed 2015 still_claims_copack=no is still mostly accurate.",Golden West Specialty Foods,"golden west specialty foods, inc.|brisbane|CA"
8,Onofrio's Ultimate Foods,New Haven,CT,https://ultimatefoods.net/,203-469-4014,,Shelf-stable sauces; relishes; meat sauces/soups; salsas; condiments; marinades,Private label and co-packing with no own brand; food bottling; sauce and marinade bottling; recipe scale-up; labeling support; R&D specialist on staff,,,FDA-inspected facility (claimed); HACCP plan and GMPs (claimed); STAR-K Kosher available (fee); organic production (claimed); gluten-free and non-GMO capability (claimed),co-packer,https://ultimatefoods.net/; https://ultimatefoods.net/about/; https://ultimatefoods.net/certifications/; https://ultimatefoods.net/getting-started/; https://www.pickyourown.org/copackers-Connecticut.php,2026-08-26 00:00:00,VERIFIED,5,private_label_no_own_brand; sauces; startup_friendly_messaging,"Homepage: we do not have our own products. About/certifications confirm private-label co-pack, bottling, FDA/HACCP/GMP, STAR-K Kosher (nominal fee), and organic production claims. Address 35 Wheeler Street New Haven CT 06512; 203-469-4014. Seed ronofrio@ not on reviewed pages. Third-party 100-case MOQ not on company pages; left blank. Positions as a path for new entrepreneurs.",Onofrio's Ultimate Foods,onofrio's ultimate foods|new haven|CT
9,Universal Pure,Meriden,CT,https://universalpure.com/,888-240-2070,,"HPP for juices, cold brews, teas, functional beverages, proteins, dips/spreads, dairy; beverage co-pack in CT and CA. Also lists pet food as an HPP category.",High Pressure Processing; beverage blending and rotary bottling; cold storage; kitting and assembly; labeling; code dating; inventory,Flexible packaging only for beverage co-pack (no aluminum or glass); round or square bottles 8oz-32oz; cold-filled non-carbonated,"20000 bottles per run (beverage co-pack, published)",,co-packer,https://universalpure.com/; https://universalpure.com/meriden-connecticut/; https://universalpure.com/beverage-bottling/; https://universalpure.com/universal-pure-locations/; https://universalpure.com/contact/; https://extension.psu.edu/list-of-co-packers-in-pennsylvania-and-beyond/,2026-08-26 00:00:00,VERIFIED,5,hpp; beverage_bottling; high_moq; large_scale; also_pet_food_hpp; multi_location,Keep as food/bev HPP plus beverage co-pack. Meriden CT page and beverage-bottling page confirm Northeast co-pack + HPP; 50 million+ bottles/year claimed; 20000 bottle/run minimum; 8-32oz bottles. Locations include Meriden CT (65 Chamberlain Hwy; 855-477-8655) and Mira Loma CA plus five others. Footer/sales number 888-240-2070 used. Seed sales@ not on reviewed pages. They also HPP pet food; human beverage/food remains the listable offer. Steep for first-run founders.,Universal Pure,universal pure|meriden|CT
