,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,Cascade Continental Foods,Richmond,CA,,,,Packaging lines for liquid and dry food products (2015 CLFP / directory text only),"No live origin. California SOS entity CASCADE-CONTINENTAL FOODS INC. (00814632, 1089 Essex Ave, Richmond) dissolved 1987-11-13. Remaining copy is the 2015 UC Davis/CLFP PDF and PickYourOwn scrape. Do not confuse with unrelated Continental Foods (Paramount), Cascade International Foods, or Cascade Foods LLC (OR hazelnuts). Seed 510-232-3103 unused. Do not revive.",,,,unknown,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf; https://opengovus.com/california-corporation/00814632; https://www.pickyourown.org/copackers-California.php,2026-08-26 00:00:00,EXCLUDE,5,no_website; sos_dissolved_1987; stale_2015_clfp; seed_phone_unused; do_not_revive,Dead listing. Do not import. Dissolved in 1987; CLFP row is leftover directory junk.,Cascade Continental Foods,cascade continental foods|richmond|CA
1,"Day-Lee Foods, Inc.",Santa Fe Springs,CA,https://day-lee.com/,562-903-3020,,"Asian-inspired frozen entrees, single-serve, and appetizers; Crazy Cuizine and Day-Lee Pride retail brands; foodservice; private label","Live day-lee.com homepage states co-packing and private label products at the Southern California facility plus own brands Crazy Cuizine and Day-Lee Pride. Co-Pack page: frozen food plant under USDA, FDA, and local health; SQF Level 2 audited; contact to see if they can meet co-pack or contract packaging needs. Company overview: HQ 10350 Heritage Park Dr Suite 111, Santa Fe Springs; phone 1 (562) 903-3020. Wholly owned subsidiary of NH Foods Group, Japan. Large branded frozen house, not a first-run kitchen. Seed 562-802-6800 unused (not on retrieved origin pages). No public email on origin.",,,SQF Level 2 (origin co-pack page); USDA and FDA (origin co-pack page),co-manufacturer,https://day-lee.com/; https://day-lee.com/co-pack; https://day-lee.com/company-overview.html; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; large_brand; nh_foods_subsidiary; not_first_run; seed_phone_unused; no_email_on_origin,"Import only if Codex wants industrial Asian frozen scale. Origin does confirm third-party co-pack, not brand-only. Not a Gen Z first-run plant.",Day-Lee Foods,"day-lee foods, inc.|santa fe springs|CA"
2,"Esco Foods, Inc.",San Francisco,CA,http://www.escofoods.com/,,,"Fountain syrups, toppings, salad dressings, marinades, BBQ sauce, flavors, extracts (2015 CLFP / directory text only)",Weebly origin http://www.escofoods.com/ (HTTPS handshake fails) states: We have closed. Thank you for your business. Copyright 2022. No copack offer. BBB still lists 131 Russ St as a flavoring-extracts profile; that is not origin copack. Seed 415-864-2147 unused. Do not revive.,,,,unknown,http://www.escofoods.com/; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,2026-08-26 00:00:00,EXCLUDE,5,closed; origin_says_closed; https_fails; seed_phone_unused; do_not_revive,Closed. Do not import. Distinct from unrelated Esco industrial-tool names.,"Esco Foods, Inc.","esco foods, inc.|san francisco|CA"
3,"George Chiala Farms, Inc.",Morgan Hill,CA,https://gcfarms.com/,,,"Prepared vegetable ingredients: garlic, onion, and other vegetables (fresh peeled, diced, roasted, pureed, IQF, frozen, dehydrated, brined)","Live gcfarms.com / gcfarmsinc.com is a vegetable-ingredient grower and processor (George Chiala Farms, Inc.). Company page: about 120 million pounds of vegetable ingredients per year from about 150 million pounds of raw vegetables; kosher and organic options; Conagra Direct Supplier of the Year 2022. Processes for food manufacturers, not third-party brand co-pack of a founder SKU. Seed 408-778-0562 unused. 2015 CLFP freezing/cold-pack/roast/dehydrate row is ingredient processing, not startup copack.",,,Certified kosher and certified organic options (origin company page; not listed as named certifier IDs),unknown,https://gcfarms.com/; https://www.gcfarmsinc.com/company; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,2026-08-26 00:00:00,EXCLUDE,5,not_copacker; industrial_ingredient_supplier; seed_phone_unused; high_volume_signal,Do not import as a founder copacker. Live farm/ingredient plant selling to manufacturers such as Conagra. 2015 CLFP row is stale for this use.,George Chiala Farms,george chiala farms|morgan hill|CA
4,Purveyor's Kitchen (now Mad Will's Food Company),Auburn,CA,https://www.madwills.com/,530-823-8527,,"Same Auburn plant as Batch 01 Mad Will's Food Company (sauces, condiments, marinades, dressings, fruit toppings). See Mad Will's row.","Seed phone 530-823-8527 matches Batch 01 Mad Will's Food Company (2043 Airpark Court, Auburn). Comstock's: Russell-Shapiro sold Mad Will's in 2015; buyers rebranded it Purveyor's Kitchen; that entity went bankrupt by early 2018; Scott Bartosh bought it out of bankruptcy and restored the Mad Will's name in September 2018. Live origin is madwills.com co-packing and private label. This seed is a stale CLFP alias, not a second plant. Seed phone kept only as the live Mad Will's number already locked in Batch 01.",,,,co-packer,https://www.madwills.com/; https://www.madwills.com/contact; https://www.comstocksmag.com/article/new-recipe-success; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,2026-08-26 00:00:00,EXCLUDE,5,cross_batch_dupe; alias_of_mad_wills; stale_2015_clfp; do_not_import_twice,Cross-batch duplicate of Batch 01 Mad Will's Food Company (mad wills food company|auburn|CA). Do not import a second Auburn plant. Keep the Mad Will's master.,Mad Will's Food Company,mad wills food company|auburn|CA
5,Sona & Hollen Foods Inc.,Los Alamitos,CA,,,,Tomatoes and other wet food products (2015 CLFP / directory text only),"No live origin. California listings for SONA & HOLLEN FOODS INC. (3712 Cerritos Ave, Los Alamitos) show dissolved status. Remaining copy is the 2015 UC Davis/CLFP PDF and PickYourOwn scrape. millsgroup.com appears on stale directories and is not this plant. Seed 310-431-1379 unused. Do not revive.",,,,unknown,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf; https://www.pickyourown.org/copackers-California.php; https://ca.ltddir.com/companies/sona-hollen-foods-inc/,2026-08-26 00:00:00,EXCLUDE,4,no_website; sos_dissolved; stale_2015_clfp; seed_phone_unused; do_not_revive,Dead listing. Do not import.,Sona & Hollen,sona & hollen|los alamitos|CA
6,Cold and hot pack; Dry Mixes (junk name; Pemberton's Gourmet Foods),Gray,ME,https://www.pembertonsgourmetfoods.com/,207-657-6446,,Junk seed name (product types leaked as a company name). Same Gray ME plant as Batch 15 Pemberton's Gourmet Foods / Longmeadow Foods.,"Seed name Cold and hot pack; Dry Mixes is not a company. Phone 207-657-6446 matches Batch 15 Pemberton's Gourmet Foods and the excluded Longmeadow Foods alias at 32 Lewiston Road Building 1B, Gray ME. Cornell Food Venture Center listing leaked process language as the name. Live site is pembertonsgourmetfoods.com. Do not mint a third Gray plant.",,,,co-packer,https://www.pembertonsgourmetfoods.com/; https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,2026-08-26 00:00:00,EXCLUDE,5,junk_seed_name; cross_batch_dupe; alias_of_pembertons; do_not_import_twice,Seed trap. Product-type string used as a name. Cross-batch duplicate of Batch 15 Pemberton's Gourmet Foods (pemberton's gourmet foods|gray|ME). Do not import.,Pemberton's Gourmet Foods,pemberton's gourmet foods|gray|ME
7,"Burnette Foods, Inc.",Elk Rapids,MI,https://www.burnettefoods.com/,231-264-8116,,Shelf-stable canned fruit and vegetables; fruit juices; applesauce; fruit fillings; fruit cups; pumpkin; hummus; canned dry-pack beans; meat items and salads,"Live burnettefoods.com states makers of shelf-stable products for three generations. Private Label Retail page: all Burnette Foods products are available for private labeling with varying package sizes, configurations, and customization options. That is catalog private label of their fruit/veg line, not a published custom-formula first-run kitchen. Locations: Elk Rapids HQ 701 US-31 South, 231-264-8116; also East Jordan, New Era, Hartford, and Burnette Farms. Contact form subjects include Private Label Retail. No public email on retrieved pages.",Cans and other shelf-stable retail/foodservice packs (origin product list; sizes not enumerated on retrieved pages),,,co-manufacturer,https://www.burnettefoods.com/; https://www.burnettefoods.com/private-label-retail/; https://www.burnettefoods.com/logistics/; https://www.michfpa.org/processors/,2026-08-26 00:00:00,VERIFIED,4,origin_confirms_private_label; catalog_private_label; industrial_canner; multi_plant; not_first_run; no_email_on_origin; no_named_certs_on_origin,Import only as a Michigan canned-fruit private-label house. Not a custom sauce/jar first-run plant. Elk Rapids phone from origin locations page.,Burnette Foods,burnette foods|elk rapids|MI
8,"Coloma Frozen Foods, Inc.",Coloma,MI,https://colomafrozen.com/,269-849-0500,sales@colomafrozen.com,Frozen fruits and vegetables; Montmorency tart cherry juice concentrate and other fruit juice concentrates/purees; Nature Blessed retail brand,"Live colomafrozen.com: started as Coloma Co-operative Canning in 1925; frozen in the 1970s; retail and concentrate in the 1980s; 20 million pound freezer plus repack/distribution center in 2014. Homepage and About: can handle private label needs; also own Nature Blessed brand. Repack: Hayssen VFFS for Nature Blessed retail. Serves industrial, foodservice, brewing/winemaking, and retail. Seed 269-944-1421 unused. Contact path /contact 404; phone 269-849-0500 and sales@colomafrozen.com on the live homepage.","Retail 20 oz, 32 oz, 40 oz VFFS (Nature Blessed); juice concentrates in pints, quarts, 1.5/3/4 gallon pails, and 52 gallon drums",,,co-manufacturer,https://colomafrozen.com/; https://colomafrozen.com/about; https://www.michfpa.org/processors/,2026-08-26 00:00:00,VERIFIED,4,origin_confirms_private_label; industrial_frozen_fruit; own_brand_nature_blessed; seed_phone_unused; no_named_certs_on_homepage,"Import as frozen fruit/juice private label and repack, not a startup kitchen. 100-year news page claimed organic and kosher; those words were not on homepage/about so certs stay blank.",Coloma Frozen Foods,coloma frozen foods|coloma|MI
9,Michigan Food Processor Coop. Inc.,Ludington,MI,,,,Frozen tart cherries; IQF tart and sweet cherries; frozen apple slices; fresh asparagus (MFPA text only),"No company website. MFPA lists Michigan Food Processor Coop. Inc. at 5130 S. Pere Marquette Rd, Ludington, with David Hackert, Dean Raspotnik, and Joe Bogus, phone 231-845-6248. Same phone, fax, and Hackert/Bogus names as Batch 23 Indian Summer Cooperative, Inc. at 3958 W. Chauvez Road (juice/applesauce). Choose Cherries directory combines Michigan Food Processors/Indian Summer. Seed 231-845-6248 unused (no origin page). Processor listing; not a published startup copacker.",,,,unknown,https://www.michfpa.org/processors/; https://www.choosecherries.com/processor-directory/,2026-08-26 00:00:00,NEEDS_REVIEW,2,no_website; processor_not_clearly_copacker; cross_batch_dupe; related_to_indian_summer_b23; seed_phone_unused,Hold. Related Ludington co-op to Batch 23 Indian Summer (same phone/leadership; different street on MFPA). Do not import a second plant without a live origin. Do not use cherrycentral.com as this row's website.,Michigan Food Processor Coop. Inc.,michigan food processor coop. inc.|ludington|MI
