,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,Chippewa Packaging Inc.,Saint Peter,MN,https://chippewapackaging.com/,,,"Dry food packaging and blending (MDA / cached site copy only): pre-made pouches, form-fill-seal, pillow, sachet, side-gusset pouches","chippewapackaging.com homepage returned a directory Index of / this check. /services/co-packaging/ and /contact-us/ returned HTTP 500 after a WebFetch timeout (retried once). Cached public copy of the co-packaging page described dry food packaging, fill weights 1/4 oz to 8 pounds, pouch types. MDA directory: ribbon and tumbler blending; SQF level 3, organic, kosher; MOQ to be determined; 507-931-5510. That directory/cached copy is not a live origin confirmation this check. Secondary packaging risk. Seed phone, certs, and MOQ unused.","Pre-made pouches; form-fill-seal including pillow, sachet, side-gusset (MDA / cached copy only)",,,unknown,https://chippewapackaging.com/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,NEEDS_REVIEW,2,origin_down; secondary_packaging; seed_phone_unused; seed_certs_unused; seed_moq_unused,"Hold. Likely a dry pouch packer/blender, not a full food co-man. Recheck when the WordPress origin serves pages again. Do not import on MDA text alone.",Chippewa Packaging Inc.,chippewa packaging inc.|saint peter|MN
1,G.O. Fresh (now WPS Fresh / GoFresh brand),Minneapolis,MN,https://wpsfresh.com/gofresh/,,,Foodservice fresh-cut fruits and vegetables (WPS GoFresh brand); historically 700 SKUs of pre-cuts,"gofresh-precut.com does not resolve (DNS NXDOMAIN). Feb 2024 PR: Wholesale Produce Supply LLC (WPS Fresh) acquired assets of G.O. Corporation I dba G.O. Fresh, a Minneapolis fresh-cut processor serving foodservice distributors. Live wpsfresh.com/gofresh/ is a foodservice fresh-cut brand (400+ daily cuts) for restaurants, schools, and institutions, not founder brand co-pack. Fresh-cut page mentions private label for supermarket produce packs and ingredients for food manufacturers. Produce distributor/processor, same class as Batch 23 BIX/FreshPoint. Seed 612-256-1770 unused. Do not mint a new WPS plant from this seed.",,,,unknown,https://wpsfresh.com/gofresh/; https://wpsfresh.com/fresh-cut/; https://www.prnewswire.com/news-releases/go-fresh-joins-wps-freshs-growing-footprint-302051375.html; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,EXCLUDE,5,produce_distributor; acquired_by_wps_fresh; domain_dead; not_founder_copack; seed_phone_unused; seed_certs_unused; seed_moq_unused,Do not import. Fresh-cut produce house now inside WPS Fresh. MDA copack unused. Distinct from other Go Fresh names.,G.O. Fresh,g.o. fresh|minneapolis|MN
2,"MBH, LLC (Flying Colors Coffeeworks)",Saint Louis Park,MN,https://flyingcolors.coffee/,,info@flyingcolors.coffee,Contract roasted whole bean and ground coffee (specialty and commercial; robusta available). No flavored coffee.,"Live flyingcolors.coffee: contract roasting, packaging, and fulfillment for other coffee brands; will never put out a coffee of their own. One roof at 4290 Park Glen Rd (schema; St. Louis Park / 55416). Smallest run 20 lb; typical green-to-shipped about 1 week. Packaging: retail and wholesale bagging, frac packs, nitrogen flush, super sacks. Fulfillment: ShipStation, DTC, freight. USDA Organic and Kosher marks on homepage. Contact email info@flyingcolors.coffee; no public phone on origin (placeholder 000 number on contact page unused). Brett Struwe LinkedIn: CEO of Flying Colors Coffeeworks - MBH, LLC. sustenancecoffee.com is a consultancy with seed phone/email; those contacts unused. Seed brett.struwe@sustenancecoffee.com unused.",Retail and wholesale bags; frac packs; nitrogen flush; super sacks in bulk,20 lb smallest run (origin homepage),USDA Organic; Kosher (origin homepage marks),co-packer,https://flyingcolors.coffee/; https://flyingcolors.coffee/contact/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; first_run_possible; published_moq; seed_phone_unused; seed_email_unused; no_flavors,"Strong first-run coffee plant. Use flyingcolors.coffee and info@flyingcolors.coffee. Keep master_dedupe_key on MBH, LLC so the seed maps. Do not list Folly Coffee as this plant even though 4290 Park Glen Rd also appears on Folly listings.",Flying Colors Coffeeworks,"mbh, llc|saint louis park|MN"
3,"Maple Island, Inc.",North St. Paul,MN,https://www.maple-island.com/,651-773-1000,,Agglomerated dairy ingredients and blended food powders and beverages; infant formula experience; instant dry milk powders,"Live maple-island.com: custom agglomeration and instantizing of dairy ingredients and blended food powders; ribbon blenders into a continuous-flow agglomerator. About: packaged in bulk totes, bags (25 lb to 25 kg), and single-serve pouches with nitrogen flush; also has contacts in the contract packaging world for finished packs they do not make. Quality page: SQF, kosher, organic, FDA inspected, USDA approved; infant formula manufacturing experience. Contact: 2497 Seventh Avenue E Suite 105, North St. Paul, MN 55109; 800-369-1022 and 651-773-1000. Production called out on homepage as the Medford, WI facility. Seed city Paul corrected to North St. Paul. Seed info@maple-island.com unused (not on contact page). Industrial ingredient plant, not a founder canister copack in Minnesota.",Bulk totes; bags 25 lb to 25 kg; single-serve pouches with nitrogen flush,,SQF certified; kosher certified; organic certified; FDA inspected; USDA approved (origin quality page),co-manufacturer,https://www.maple-island.com/; https://www.maple-island.com/about-maple-island/; https://www.maple-island.com/quality-certification/; https://www.maple-island.com/contact-us-samples/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,4,origin_confirms_custom_agglomeration; industrial_ingredients; hq_north_st_paul; production_medford_WI; not_first_run; seed_city_was_paul; seed_email_unused; infant_formula,Import only as industrial powder agglomeration. Make point is Medford WI; North St. Paul is the listed office. Keep seed key maple island inc.|paul|MN. Not a MN founder co-pack plant.,Maple Island,maple island inc.|paul|MN
4,Milk Specialties Global (now Actus Nutrition),Eden Prairie,MN,https://actus.com/,,,"Whey and milk proteins, caseins/caseinates, functional fats and carbohydrates; private-label ready-to-mix protein and sports-nutrition powders; extruded protein snacks/cereal at other plants","Live actus.com About FAQ: in October 2024 Milk Specialties Global changed its name to Actus Nutrition. Eden Prairie is corporate headquarters, not a listed manufacturing plant. Private-label RTM page: custom and private-label protein powder from concept and formulation through manufacturing and packaging (proteins, creatine, pre-workouts, amino acids, collagen, keto shakes, gainers). About: Wautoma WI is the private-label manufacturing facility for sports nutrition and powder bottling; Clara City MN is private-label extrusion. 14 US plants. Contact page is a form only; seed 952-942-7310 and cbaughman@milkspecialties.com unused. Seed 10000 pounds unused. Large industrial nutrition house, not a first-run plant.",Powder blending and bottling (Wautoma plant on About page); other pack formats not enumerated on retrieved pages,,"Amazon Certified Manufacturer; gluten-free allergen certification; SQF Level 3; NSF cGMP; NSF Informed Sport; WI Dept of Agriculture certified (origin private-label RTM page; company-wide, not Eden Prairie-specific)",co-manufacturer,https://actus.com/; https://actus.com/about/; https://actus.com/private-label/private-label-ready-to-mix/; https://actus.com/contact/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,4,origin_confirms_private_label; rebranded_actus; hq_not_plant; industrial_ingredients; not_first_run; seed_phone_unused; seed_email_unused; seed_moq_unused,Import only if Codex wants industrial sports-nutrition private label. Do not list Eden Prairie as the make point. Powder private label is Wautoma WI on origin. Keep seed key milk specialties global|eden prairie|MN.,Actus Nutrition,milk specialties global|eden prairie|MN
5,Mille Lacs Wild Rice Corporation (Canoe Wild Rice),Aitkin,MN,https://www.canoewildrice.com/,800-626-3809,,Wild rice; roasted and fast-cooking wild rice; White'N Wild blends; medley with dehydrated vegetables; pre-cooked canned wild rice; USDA Organic options,"Live canoewildrice.com: four-generation Ratuski family mill in Aitkin. Wholesale block: private-label and co-pack programs for foodservice, co-ops, and specialty grocers; case, pallet, and bulk totes up to 2000 lb; USDA Organic and conventional SKUs; lead time 7-10 business days. Inquiry form includes a Private Label option. Organic wild rice certified by Minnesota Crop Improvement Association and processed separately at the Aitkin mill. Phone 800-626-3809 on the commercial inquiry block. Seed joe@canoewildrice.com unused. Seed typically no order minimums unused (origin does not publish a numeric floor).",Retail bags and blends; 5 lb and 25 lb bulk bags; #10 (107 oz) cans of pre-cooked wild rice; 28 oz jars (medley); bulk totes up to 2000 lb,,"USDA Organic for select products, certified by MCIA (origin homepage)",co-packer,https://www.canoewildrice.com/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; first_run_possible; private_label; seed_email_unused; seed_moq_unused,Import as a wild-rice mill that will private-label and co-pack. Strong for grain founders. Keep Canoe as the public brand of Mille Lacs Wild Rice Corporation.,Canoe Wild Rice,mille lacs wild rice corporation|aitkin|MN
6,NLC Beverage Company Inc. (New Life Coffee),Rice,MN,https://newlifecoffee.com/,,,"Bagged coffee, flavored coffees, single-origin and blends, single-serve cups, Soyava coffee replacement, iced/cold-press coffee, Coffee Lab concentrate (brand site)","Live newlifecoffee.com is a veteran-owned coffee brand shop. About page describes own roasting, automated production, Fair Trade Organic purchasing, and regional iced/cold-press beverages. No co-pack, private label, or third-party manufacturing offer on retrieved origin pages. MDA directory (off-origin) lists bagged coffee, mushroom coffee, single serve, RTD CBD beverages and mocktails, cold brew, on-staff chemist, short-run capability, Troy M. Piotrowski 844-314-5252 / troy@newlifecoffee.com. Those MDA copack claims unused. Do not treat CBD as confirmed.",Recyclable or compostable bags and single-serve cups (origin about page),,Fair Trade Organic coffee roaster claim on origin about page (not listed as a named plant certificate),unknown,https://newlifecoffee.com/; https://newlifecoffee.com/pages/about-us; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,NEEDS_REVIEW,2,brand_site; copack_off_origin; seed_phone_unused; seed_email_unused; cbd_on_mda_only,"Hold. Live site is a coffee brand, not a published copacker. Distinct from Newfoundland Labrador Liquor Corporation (also NLC). Do not import on MDA text alone.",New Life Coffee,nlc beverage company inc.|rice|MN
7,"Nikola's Bakery, Inc.",Bloomington,MN,https://www.nikolasbakery.com/,952-253-5991,,"Muffins, mini and stuffed muffins, coffee cakes, sweet breads, pound cakes, brownies, snack cakes, 1 lb loaves, sliced loaf cakes, cookies, Latino cookies, granola","Live nikolasbakery.com: BRCGS-certified 64000 sq ft manufacturing bakery offering private-label and proprietary product development and manufacturing. We co-manufacture products for brand partners and provide customized full-service co-manufacturing. Co-Packing section: scale-up and long-term manufacturing. Peanut-free facility; traditional and clean-label. Contact: 8301 Grand Avenue South, Bloomington, MN 55420; 952-253-5991. Contact page lists kosher certified and BRC certified. Sales/co-manufacturing contacts are named without public emails on the retrieved page. Seed dir@nikolasbakery.com unused. Seed AIB 910 unused (origin now says BRCGS). Seed 35000 plus 15000 sq ft unused (origin 64000).","Individually wrapped; sizes for K-12, club, retail, and foodservice",,BRCGS / BRC certified; kosher certified; peanut-free facility (origin homepage and contact),co-manufacturer,https://www.nikolasbakery.com/; https://www.nikolasbakery.com/what-we-do/; https://www.nikolasbakery.com/contact-us/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; first_run_possible; peanut_free; seed_email_unused; seed_certs_partially_stale,"Import as a Bloomington bakery co-man. Origin says small, medium, and large companies. Case-by-case MOQ on MDA unused.",Nikola's Bakery,"nikola's foods, nikola's bakery|bloomington|MN"
8,North Star Processing LLC (now Revela Foods),Litchfield,MN,https://www.revelafoods.com/,320-693-7211,info@revelafoods.com,Toll spray-dried food ingredients; custom seasonings; dairy flavors; sauces; functional cheese (Revela family),"nsp-llc.com TLS failed this check. Live revelafoods.com Who We Are: North Star Processing founded 2000 as a toll manufacturer in the food supplement industry; toll spray dryer addition 2019; joined Welcome Dairy Holdings in 2021; Revela Foods brand 2022. Seasonings page lists custom spray drying. Get In Touch: Litchfield MN office 725 Aspen Drive, 320-693-7211, info@revelafoods.com. Parent contact form topics include Private Label. Industrial ingredient house, not a founder copack. Seed mholmgren@nsp-llc.com unused. Seed OU/QAI unused (parent site shows SQF/kosher logos under affiliations, not a Litchfield certificate list).",,,,co-manufacturer,https://www.revelafoods.com/; https://www.revelafoods.com/whoweare/; https://www.revelafoods.com/get-in-touch/; https://www.revelafoods.com/seasonings/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,4,origin_confirms_toll_spray_dry; acquired_revela; industrial_ingredients; not_first_run; nsp_llc_tls_fail; seed_email_unused; seed_certs_unused,Import only as industrial spray-dry/seasoning tolling under Revela. Keep Litchfield as this seed; HQ is New Berlin WI. Do not mint extra WI Revela plants from this row.,Revela Foods (North Star Processing),north star processing llc|litchfield|MN
9,"Northwestern Foods, Inc.",Arden Hills,MN,http://northwesternfoods.com/,651-644-8060,sales@northwesternfoods.com,"Custom dry food ingredient blends; beverage, dessert, bread, scone/muffin, pizza dough, pancake/waffle, and specialty mixes","Live northwesternfoods.com (HTTP; HTTPS presents a self-signed cert): customized dry food ingredient blending with in-house product development and food scientists. About: BRC Global Standard certified; also kosher and GFCO certified. Footer: 1260 Grey Fox Road, Arden Hills, MN 55112; Ph 651-644-8060; TF 1-800-236-4937. Contact: sales@northwesternfoods.com (claire@ also on that page; keep the public sales address). Seed 2000 pounds/item unused. Seed MDA VFFS unused (not on retrieved origin pages).",,,BRC Global Standard; kosher; GFCO (origin about page),co-manufacturer,http://northwesternfoods.com/; http://northwesternfoods.com/sample-page/; http://northwesternfoods.com/applications/; http://northwesternfoods.com/contact-us/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_custom_blend; dry_mix; https_self_signed; seed_moq_unused; seed_vffs_unused,Import as an Arden Hills dry-blend co-man. Use HTTP URL. Distinct from Batch 22 Riffs Smokehouse also in Arden Hills.,Northwestern Foods,northwestern foods inc.|arden hills|MN
